Name_1,MSTN,line_count_p5,stop_count_p5
ADDISON ROAD-SEAT PLEASANT,MSTN_062,36.0,18.0
ANACOSTIA,MSTN_001,64.0,36.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,MSTN_002,86.0,50.0
ARLINGTON CEMETERY,MSTN_065,9.0,0.0
BALLSTON-MU,MSTN_068,35.0,30.0
BENNING ROAD,MSTN_003,30.0,34.0
BETHESDA,MSTN_052,11.0,22.0
BRADDOCK ROAD,MSTN_078,15.0,13.0
BRANCH AVE,MSTN_077,15.0,9.0
BROOKLAND-CUA,MSTN_004,28.0,37.0
CAPITOL HEIGHTS,MSTN_084,32.0,25.0
CAPITOL SOUTH,MSTN_005,25.0,16.0
CHEVERLY,MSTN_058,18.0,11.0
CLARENDON,MSTN_063,9.0,13.0
CLEVELAND PARK,MSTN_006,18.0,20.0
COLLEGE PARK-U OF MD,MSTN_053,27.0,8.0
COLUMBIA HEIGHTS,MSTN_007,48.0,59.0
CONGRESS HEIGHTS,MSTN_008,35.0,40.0
COURT HOUSE,MSTN_061,18.0,26.0
CRYSTAL CITY,MSTN_072,27.0,19.0
DEANWOOD,MSTN_009,21.0,23.0
DUNN LORING-MERRIFIELD,MSTN_067,15.0,7.0
DUPONT CIRCLE,MSTN_010,63.0,63.0
EAST FALLS CHURCH,MSTN_064,21.0,17.0
EASTERN MARKET,MSTN_011,35.0,21.0
EISENHOWER AVENUE,MSTN_080,15.0,2.0
FARRAGUT NORTH,MSTN_012,121.0,64.0
FARRAGUT WEST,MSTN_013,120.0,63.0
FEDERAL CENTER SW,MSTN_014,47.0,20.0
FEDERAL TRIANGLE,MSTN_015,101.0,50.0
FOGGY BOTTOM-GWU,MSTN_016,65.0,38.0
FOREST GLEN,MSTN_048,16.0,8.0
FORT TOTTEN,MSTN_017,39.0,24.0
FRANCONIA-SPRINGFIELD,MSTN_083,10.0,3.0
FRIENDSHIP HEIGHTS,MSTN_018,32.0,28.0
GALLERY PL-CHINATOWN,MSTN_019,102.0,79.0
GEORGIA AVE-PETWORTH,MSTN_020,31.0,40.0
GLENMONT,MSTN_044,12.0,17.0
GREENBELT,MSTN_049,36.0,7.0
GREENSBORO,MSTN_089,4.0,0.0
GROSVENOR-STRATHMORE,MSTN_047,2.0,0.0
HUNTINGTON,MSTN_082,12.0,9.0
JUDICIARY SQUARE,MSTN_021,69.0,48.0
KING ST-OLD TOWN,MSTN_079,29.0,6.0
L'ENFANT PLAZA,MSTN_022,52.0,37.0
LANDOVER,MSTN_057,8.0,8.0
LARGO TOWN CENTER,MSTN_085,20.0,13.0
MCLEAN,MSTN_087,12.0,7.0
MCPHERSON SQUARE,MSTN_023,126.0,83.0
MEDICAL CENTER,MSTN_050,10.0,10.0
METRO CENTER,MSTN_024,118.0,84.0
MINNESOTA AVE,MSTN_025,48.0,34.0
MORGAN BOULEVARD,MSTN_086,7.0,0.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,MSTN_026,60.0,44.0
NAVY YARD-BALLPARK,MSTN_027,16.0,17.0
NAYLOR ROAD,MSTN_074,25.0,13.0
NEW CARROLLTON,MSTN_056,56.0,21.0
NOMA-GALLAUDET,MSTN_028,37.0,29.0
PENTAGON,MSTN_070,94.0,18.0
PENTAGON CITY,MSTN_071,96.0,19.0
POTOMAC AVE,MSTN_029,40.0,21.0
PRINCE GEORGE'S PLAZA,MSTN_054,25.0,23.0
RHODE ISLAND AVE-BRENTWOOD,MSTN_030,41.0,28.0
ROCKVILLE,MSTN_042,16.0,12.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,MSTN_073,14.0,2.0
ROSSLYN,MSTN_060,27.0,20.0
SHADY GROVE,MSTN_041,10.0,5.0
SHAW-HOWARD U,MSTN_031,47.0,61.0
SILVER SPRING,MSTN_051,68.0,45.0
SMITHSONIAN,MSTN_032,77.0,30.0
SOUTHERN AVENUE,MSTN_076,45.0,21.0
SPRING HILL,MSTN_090,5.0,1.0
STADIUM-ARMORY,MSTN_033,31.0,29.0
SUITLAND,MSTN_075,22.0,14.0
TAKOMA,MSTN_034,21.0,17.0
TENLEYTOWN-AU,MSTN_035,40.0,28.0
TWINBROOK,MSTN_043,5.0,6.0
TYSONS CORNER,MSTN_088,11.0,9.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,MSTN_036,57.0,48.0
UNION STATION,MSTN_037,43.0,40.0
VAN DORN STREET,MSTN_081,9.0,3.0
VAN NESS-UDC,MSTN_038,12.0,17.0
VIENNA/FAIRFAX-GMU,MSTN_069,13.0,6.0
VIRGINIA SQUARE-GMU,MSTN_066,33.0,12.0
WATERFRONT,MSTN_039,21.0,31.0
WEST FALLS CHURCH-VT/UVA,MSTN_059,15.0,9.0
WEST HYATTSVILLE,MSTN_055,18.0,14.0
WHEATON,MSTN_046,29.0,20.0
WHITE FLINT,MSTN_045,6.0,4.0
WIEHLE-RESTON EAST,MSTN_091,6.0,1.0
WOODLEY PARK-ZOO/ADAMS MORGAN,MSTN_040,18.0,20.0
Reston Town Center,MSTN_092,2.0,0.0
Herndon,MSTN_093,2.0,1.0
Innovation Center,MSTN_094,2.0,0.0
Washington Dulles International Airport,MSTN_095,1.0,0.0
Loudoun Gateway,MSTN_096,0.0,0.0
Ashburn,MSTN_097,0.0,0.0
