"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"Alabama","Estimate","1,967,290"
"Alabama","Margin of Error","6,980"
"Alaska","Estimate","368,140"
"Alaska","Margin of Error","2,066"
"Arizona","Estimate","2,816,865"
"Arizona","Margin of Error","8,769"
"Arkansas","Estimate","1,246,670"
"Arkansas","Margin of Error","6,471"
"California","Estimate","17,192,045"
"California","Margin of Error","20,898"
"Colorado","Estimate","2,660,750"
"Colorado","Margin of Error","5,823"
"Connecticut","Estimate","1,738,610"
"Connecticut","Margin of Error","6,161"
"Delaware","Estimate","433,090"
"Delaware","Margin of Error","3,374"
"District of Columbia","Estimate","818,920"
"District of Columbia","Margin of Error","4,962"
"Florida","Estimate","8,600,405"
"Florida","Margin of Error","16,654"
"Georgia","Estimate","4,438,970"
"Georgia","Margin of Error","11,321"
"Hawaii","Estimate","688,300"
"Hawaii","Margin of Error","3,432"
"Idaho","Estimate","697,630"
"Idaho","Margin of Error","4,080"
"Illinois","Estimate","6,020,730"
"Illinois","Margin of Error","11,032"
"Indiana","Estimate","2,976,720"
"Indiana","Margin of Error","8,227"
"Iowa","Estimate","1,562,915"
"Iowa","Margin of Error","5,016"
"Kansas","Estimate","1,417,500"
"Kansas","Margin of Error","5,399"
"Kentucky","Estimate","1,910,090"
"Kentucky","Margin of Error","6,910"
"Louisiana","Estimate","2,011,435"
"Louisiana","Margin of Error","7,069"
"Maine","Estimate","624,200"
"Maine","Margin of Error","3,579"
"Maryland","Estimate","2,711,070"
"Maryland","Margin of Error","7,615"
"Massachusetts","Estimate","3,470,655"
"Massachusetts","Margin of Error","9,313"
"Michigan","Estimate","4,320,225"
"Michigan","Margin of Error","8,975"
"Minnesota","Estimate","2,826,235"
"Minnesota","Margin of Error","6,015"
"Mississippi","Estimate","1,147,985"
"Mississippi","Margin of Error","5,474"
"Missouri","Estimate","2,842,295"
"Missouri","Margin of Error","8,118"
"Montana","Estimate","480,985"
"Montana","Margin of Error","2,656"
"Nebraska","Estimate","983,030"
"Nebraska","Margin of Error","3,103"
"Nevada","Estimate","1,289,350"
"Nevada","Margin of Error","5,561"
"New Hampshire","Estimate","652,240"
"New Hampshire","Margin of Error","3,775"
"New Jersey","Estimate","3,930,555"
"New Jersey","Margin of Error","9,241"
"New Mexico","Estimate","869,305"
"New Mexico","Margin of Error","4,020"
"New York","Estimate","9,515,750"
"New York","Margin of Error","18,255"
"North Carolina","Estimate","4,447,890"
"North Carolina","Margin of Error","9,713"
"North Dakota","Estimate","431,355"
"North Dakota","Margin of Error","2,303"
"Ohio","Estimate","5,338,935"
"Ohio","Margin of Error","12,917"
"Oklahoma","Estimate","1,714,470"
"Oklahoma","Margin of Error","4,546"
"Oregon","Estimate","1,839,300"
"Oregon","Margin of Error","6,547"
"Pennsylvania","Estimate","5,862,250"
"Pennsylvania","Margin of Error","11,969"
"Rhode Island","Estimate","487,485"
"Rhode Island","Margin of Error","3,308"
"South Carolina","Estimate","2,078,250"
"South Carolina","Margin of Error","7,569"
"South Dakota","Estimate","431,575"
"South Dakota","Margin of Error","2,145"
"Tennessee","Estimate","2,936,385"
"Tennessee","Margin of Error","9,067"
"Texas","Estimate","12,235,810"
"Texas","Margin of Error","18,073"
"Utah","Estimate","1,355,220"
"Utah","Margin of Error","4,915"
"Vermont","Estimate","317,950"
"Vermont","Margin of Error","2,258"
"Virginia","Estimate","3,972,135"
"Virginia","Margin of Error","8,956"
"Washington","Estimate","3,257,680"
"Washington","Margin of Error","7,526"
"West Virginia","Estimate","717,985"
"West Virginia","Margin of Error","4,749"
"Wisconsin","Estimate","2,817,380"
"Wisconsin","Margin of Error","5,846"
"Wyoming","Estimate","295,960"
"Wyoming","Margin of Error","2,262"
"Puerto Rico","Estimate","1,022,020"
"Puerto Rico","Margin of Error","6,042"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Estimate","3,317,720"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Margin of Error","7,742"
"TAZ 00010001, District of Columbia, District of Columbia","Estimate","10,845"
"TAZ 00010001, District of Columbia, District of Columbia","Margin of Error","747"
"TAZ 00010010, District of Columbia, District of Columbia","Estimate","5,625"
"TAZ 00010010, District of Columbia, District of Columbia","Margin of Error","470"
"TAZ 00010011, District of Columbia, District of Columbia","Estimate","4,420"
"TAZ 00010011, District of Columbia, District of Columbia","Margin of Error","455"
"TAZ 00010012, District of Columbia, District of Columbia","Estimate","8,580"
"TAZ 00010012, District of Columbia, District of Columbia","Margin of Error","547"
"TAZ 00010017, District of Columbia, District of Columbia","Estimate","3,840"
"TAZ 00010017, District of Columbia, District of Columbia","Margin of Error","385"
"TAZ 00010019, District of Columbia, District of Columbia","Estimate","7,235"
"TAZ 00010019, District of Columbia, District of Columbia","Margin of Error","590"
"TAZ 00010021, District of Columbia, District of Columbia","Estimate","7,060"
"TAZ 00010021, District of Columbia, District of Columbia","Margin of Error","529"
"TAZ 00010022, District of Columbia, District of Columbia","Estimate","9,035"
"TAZ 00010022, District of Columbia, District of Columbia","Margin of Error","579"
"TAZ 00010023, District of Columbia, District of Columbia","Estimate","7,945"
"TAZ 00010023, District of Columbia, District of Columbia","Margin of Error","566"
"TAZ 00010028, District of Columbia, District of Columbia","Estimate","13,165"
"TAZ 00010028, District of Columbia, District of Columbia","Margin of Error","810"
"TAZ 00010029, District of Columbia, District of Columbia","Estimate","7,640"
"TAZ 00010029, District of Columbia, District of Columbia","Margin of Error","686"
"TAZ 00010030, District of Columbia, District of Columbia","Estimate","7,445"
"TAZ 00010030, District of Columbia, District of Columbia","Margin of Error","602"
"TAZ 00010031, District of Columbia, District of Columbia","Estimate","2,415"
"TAZ 00010031, District of Columbia, District of Columbia","Margin of Error","288"
"TAZ 00010033, District of Columbia, District of Columbia","Estimate","5,785"
"TAZ 00010033, District of Columbia, District of Columbia","Margin of Error","509"
"TAZ 00010034, District of Columbia, District of Columbia","Estimate","1,730"
"TAZ 00010034, District of Columbia, District of Columbia","Margin of Error","254"
"TAZ 00010035, District of Columbia, District of Columbia","Estimate","5,350"
"TAZ 00010035, District of Columbia, District of Columbia","Margin of Error","551"
"TAZ 00010036, District of Columbia, District of Columbia","Estimate","9,810"
