ID,PRIMARY_NAME_FY23,walkshed_filename,Name_1,Workers 16 and Over,proportionjobs
MSTN_062,Addison Road,ADDISON ROAD-SEAT PLEASANT,ADDISON ROAD-SEAT PLEASANT,1030,116.6163764616993
MSTN_001,Anacostia,ANACOSTIA,ANACOSTIA,9715,1763.7474935410032
MSTN_002,Archives,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,122395,56594.20635576408
MSTN_065,Arlington Cemetery,ARLINGTON CEMETERY,ARLINGTON CEMETERY,295,35.88904207311964
MSTN_097,Ashburn,Ashburn,Ashburn,2790,278.6184301103031
MSTN_068,Ballston-MU,BALLSTON-MU,BALLSTON-MU,29220,7944.309561574421
MSTN_003,Benning Road,BENNING ROAD,BENNING ROAD,2580,891.5178101125588
MSTN_052,Bethesda,BETHESDA,BETHESDA,36090,5732.598921642794
MSTN_078,Braddock Road,BRADDOCK ROAD,BRADDOCK ROAD,7995,2707.871888734827
MSTN_077,Branch Ave,BRANCH AVE,BRANCH AVE,1600,519.478934746185
MSTN_004,Brookland-CUA,BROOKLAND-CUA,BROOKLAND-CUA,8840,2231.1429772423035
MSTN_084,Capitol Heights,CAPITOL HEIGHTS,CAPITOL HEIGHTS,2055,403.1266787270997
MSTN_005,Capitol South,CAPITOL SOUTH,CAPITOL SOUTH,39765,14219.733770207547
MSTN_058,Cheverly,CHEVERLY,CHEVERLY,3635,300.2832134879158
MSTN_063,Clarendon,CLARENDON,CLARENDON,25570,7634.630805111328
MSTN_006,Cleveland Park,CLEVELAND PARK,CLEVELAND PARK,9725,2352.8406598088864
MSTN_053,College Park-U of Md,COLLEGE PARK-U OF MD,COLLEGE PARK-U OF MD,8800,1176.482420949782
MSTN_007,Columbia Heights,COLUMBIA HEIGHTS,COLUMBIA HEIGHTS,9215,4230.5383991635845
MSTN_008,Congress Heights,CONGRESS HEIGHTS,CONGRESS HEIGHTS,4480,1084.851641109132
MSTN_061,Court House,COURT HOUSE,COURT HOUSE,42860,6953.796700139871
MSTN_072,Crystal City,CRYSTAL CITY,CRYSTAL CITY,35830,5207.280480932284
MSTN_009,Deanwood,DEANWOOD,DEANWOOD,1720,373.362239841583
