ID,PRIMARY_NAME_FY23,walkshed_filename,Name_1,Workers 16 and Over_p75,proportionjobs_p75
MSTN_062,Addison Road,ADDISON ROAD-SEAT PLEASANT,ADDISON ROAD-SEAT PLEASANT,1560,680.1094939900462
MSTN_001,Anacostia,ANACOSTIA,ANACOSTIA,19805,7254.574070751528
MSTN_002,Archives,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,234605,120332.2033720793
MSTN_065,Arlington Cemetery,ARLINGTON CEMETERY,ARLINGTON CEMETERY,34175,12522.80140704057
MSTN_097,Ashburn,Ashburn,Ashburn,5205,1175.4759805069068
MSTN_068,Ballston-MU,BALLSTON-MU,BALLSTON-MU,38805,14533.798328238798
MSTN_003,Benning Road,BENNING ROAD,BENNING ROAD,4990,2398.4551428917894
MSTN_052,Bethesda,BETHESDA,BETHESDA,50865,18249.361634696255
MSTN_078,Braddock Road,BRADDOCK ROAD,BRADDOCK ROAD,46105,16245.260074941258
MSTN_077,Branch Ave,BRANCH AVE,BRANCH AVE,4880,1262.9563555721058
MSTN_004,Brookland-CUA,BROOKLAND-CUA,BROOKLAND-CUA,24335,11422.745917018881
MSTN_084,Capitol Heights,CAPITOL HEIGHTS,CAPITOL HEIGHTS,2980,1146.279889912006
MSTN_005,Capitol South,CAPITOL SOUTH,CAPITOL SOUTH,93070,52622.29300065627
MSTN_058,Cheverly,CHEVERLY,CHEVERLY,7325,3429.6927332980035
MSTN_063,Clarendon,CLARENDON,CLARENDON,40275,18304.34981038147
MSTN_006,Cleveland Park,CLEVELAND PARK,CLEVELAND PARK,16140,4607.520483993858
MSTN_053,College Park-U of Md,COLLEGE PARK-U OF MD,COLLEGE PARK-U OF MD,16580,6427.40197530104
MSTN_007,Columbia Heights,COLUMBIA HEIGHTS,COLUMBIA HEIGHTS,27925,13001.786692265467
MSTN_008,Congress Heights,CONGRESS HEIGHTS,CONGRESS HEIGHTS,6355,2314.6686057229244
MSTN_061,Court House,COURT HOUSE,COURT HOUSE,51885,15821.618812713426
MSTN_072,Crystal City,CRYSTAL CITY,CRYSTAL CITY,54645,15866.491244191351
MSTN_009,Deanwood,DEANWOOD,DEANWOOD,7430,2713.6181583327684
MSTN_085,Downtown Largo,LARGO TOWN CENTER,LARGO TOWN CENTER,14955,3733.4044190367863
MSTN_095,Dulles Airport,Washington Dulles International Airport,Washington Dulles International Airport,10875,1570.410986351559
MSTN_067,Dunn Loring,DUNN LORING-MERRIFIELD,DUNN LORING-MERRIFIELD,26620,6982.044343634775
MSTN_010,Dupont Circle,DUPONT CIRCLE,DUPONT CIRCLE,195050,110164.28223619742
MSTN_064,East Falls Church,EAST FALLS CHURCH,EAST FALLS CHURCH,11505,4700.140964732852
MSTN_011,Eastern Market,EASTERN MARKET,EASTERN MARKET,54670,28100.255751057997
MSTN_080,Eisenhower Ave,EISENHOWER AVENUE,EISENHOWER AVENUE,29485,9862.987946100224
MSTN_012,Farragut North,FARRAGUT NORTH,FARRAGUT NORTH,267400,157983.24122211998
MSTN_013,Farragut West,FARRAGUT WEST,FARRAGUT WEST,267025,154975.90489040074
MSTN_014,Federal Center SW,FEDERAL CENTER SW,FEDERAL CENTER SW,122220,46243.59332093511
MSTN_015,Federal Triangle,FEDERAL TRIANGLE,FEDERAL TRIANGLE,250915,98498.71863235038
MSTN_016,Foggy Bottom-GWU,FOGGY BOTTOM-GWU,FOGGY BOTTOM-GWU,172355,69687.85171258138
MSTN_048,Forest Glen,FOREST GLEN,FOREST GLEN,11465,3395.3639664305574
MSTN_017,Fort Totten,FORT TOTTEN,FORT TOTTEN,7950,3882.947107966989
MSTN_083,Franconia-Springfield,FRANCONIA-SPRINGFIELD,FRANCONIA-SPRINGFIELD,11280,3157.126273350096
MSTN_018,Friendship Heights,FRIENDSHIP HEIGHTS,FRIENDSHIP HEIGHTS,20390,7959.010273646662
MSTN_019,Gallery Place,GALLERY PL-CHINATOWN,GALLERY PL-CHINATOWN,223830,121194.58041277842
MSTN_020,Georgia Ave-Petworth,GEORGIA AVE-PETWORTH,GEORGIA AVE-PETWORTH,28990,12509.471692587826
MSTN_044,Glenmont,GLENMONT,GLENMONT,2685,1028.6061139650944
MSTN_049,Greenbelt,GREENBELT,GREENBELT,12170,5273.324190539929
MSTN_089,Greensboro,GREENSBORO,GREENSBORO,64935,23185.482909306804
MSTN_047,Grosvenor-Strathmore,GROSVENOR-STRATHMORE,GROSVENOR-STRATHMORE,18425,6281.122655099708
MSTN_093,Herndon,Herndon,Herndon,30315,9755.6855719708
MSTN_082,Huntington,HUNTINGTON,HUNTINGTON,22060,6512.898102575648
MSTN_054,Hyattsville Crossing,PRINCE GEORGE'S PLAZA,PRINCE GEORGE'S PLAZA,8715,3790.7652404610753
