,station_name_o,station_name_d,bus_transit_minutes,metro_transit_minutes,bus_competativeness_index
0,Anacostia,Anacostia,,0,1.0
1,Anacostia,Archives,11.48,9,0.7839721254355401
2,Anacostia,Archives,34.02,9,0.26455026455026454
3,Anacostia,Benning Road,54.2,26,0.4797047970479705
4,Anacostia,Brookland-CUA,65.25,27,0.41379310344827586
5,Anacostia,Capitol South,28.82,16,0.5551700208188758
6,Anacostia,Cleveland Park,80.67,28,0.3470930953266394
7,Anacostia,Cleveland Park,74.78,28,0.37443166622091467
8,Anacostia,Columbia Heights,66.33,18,0.27137042062415195
9,Anacostia,Congress Heights,17.08,3,0.17564402810304452
10,Anacostia,Deanwood,60.05,28,0.466278101582015
11,Anacostia,Dupont Circle,55.77,24,0.4303388918773534
12,Anacostia,Eastern Market,17.07,18,1.054481546572935
13,Anacostia,Farragut North,,21,0.0
14,Anacostia,Farragut West,42.95,21,0.48894062863795107
15,Anacostia,Farragut West,45.48,21,0.46174142480211083
16,Anacostia,Federal Center SW,,14,0.0
17,Anacostia,Federal Triangle,,16,0.0
18,Anacostia,Foggy Bottom-GWU,54.85,23,0.4193254329990884
19,Anacostia,Fort Totten,76.28,25,0.32773990561090716
20,Anacostia,Friendship Heights,84.0,35,0.4166666666666667
21,Anacostia,Gallery Place,39.05,11,0.28169014084507044
22,Anacostia,Gallery Place,15.85,11,0.694006309148265
23,Anacostia,Georgia Ave-Petworth,68.05,21,0.3085966201322557
24,Anacostia,Judiciary Square,,18,0.0
25,Anacostia,L'Enfant Plaza,,7,0.0
26,Anacostia,McPherson Sq,,19,0.0
27,Anacostia,Metro Center,38.07,17,0.4465458366167586
28,Anacostia,Metro Center,41.48,17,0.4098360655737705
29,Anacostia,Minnesota Ave,37.7,24,0.636604774535809
30,Anacostia,Mt Vernon Sq,,13,0.0
31,Anacostia,Navy Yard-Ballpark,3.0,3,1.0
32,Anacostia,NoMa-Gallaudet U,41.33,22,0.5323009920154852
33,Anacostia,Potomac Ave,32.47,20,0.6159531875577456
34,Anacostia,Rhode Island Ave,64.7,24,0.3709428129829984
35,Anacostia,Shaw-Howard U,51.88,14,0.2698535080956052
36,Anacostia,Shaw-Howard U,15.73,14,0.8900190718372536
37,Anacostia,Smithsonian,21.48,14,0.6517690875232774
38,Anacostia,Smithsonian,37.63,14,0.3720435822482062
39,Anacostia,Stadium-Armory,36.68,22,0.5997818974918212
40,Anacostia,Takoma,87.07,33,0.3790053979556679
41,Anacostia,Tenleytown-AU,87.2,33,0.37844036697247707
42,Anacostia,U Street,51.92,16,0.3081664098613251
43,Anacostia,Union Station,30.18,20,0.6626905235255136
44,Anacostia,Van Ness-UDC,,30,0.0
45,Anacostia,Waterfront,29.95,5,0.1669449081803005
46,Anacostia,Waterfront,7.82,5,0.639386189258312
47,Anacostia,Woodley Park,68.9,26,0.3773584905660377
48,Anacostia,Shady Grove,159.15,57,0.35815268614514606
49,Anacostia,Rockville,145.08,53,0.365315687896333
50,Anacostia,Twinbrook,132.72,50,0.37673297166968056
51,Anacostia,Glenmont,125.5,45,0.35856573705179284
52,Anacostia,White Flint,122.9,47,0.38242473555736367
53,Anacostia,Wheaton,115.03,42,0.3651221420499
54,Anacostia,Grosvenor-Strathmore,141.38,44,0.3112179940585656
55,Anacostia,Forest Glen,107.0,39,0.3644859813084112
56,Anacostia,Greenbelt,37.62,37,0.9835194045720362
57,Anacostia,Medical Center,119.17,41,0.34404632038264665
58,Anacostia,Silver Spring,85.7,36,0.4200700116686114
59,Anacostia,Bethesda,109.92,38,0.3457059679767103
60,Anacostia,College Park-U of Md,90.55,34,0.3754831584759801
61,Anacostia,Prince George's Plaza,81.68,31,0.37952987267384913
62,Anacostia,West Hyattsville,27.43,28,1.020780167699599
63,Anacostia,New Carrollton,62.27,36,0.578127509233981
64,Anacostia,Landover,56.7,33,0.582010582010582
65,Anacostia,Cheverly,55.77,30,0.5379236148466917
66,Anacostia,West Falls Church,81.78,41,0.5013450721447786
67,Anacostia,Rosslyn,73.65,26,0.3530210454854039
68,Anacostia,Court House,81.4,29,0.3562653562653562
69,Anacostia,Addison Road,35.82,31,0.8654383026242323
70,Anacostia,Clarendon,84.23,31,0.3680398907752582
71,Anacostia,East Falls Church,103.48,38,0.3672207189795129
72,Anacostia,Arlington Cemetery,32.27,25,0.7747133560582584
73,Anacostia,Virginia Sq-GMU,91.08,32,0.3513394817742644
74,Anacostia,Dunn Loring,86.15,45,0.522344747533372
75,Anacostia,Ballston-MU,94.03,34,0.36158672764011485
76,Anacostia,Vienna,140.83,49,0.3479372292835333
77,Anacostia,Pentagon,20.43,17,0.8321096426823299
78,Anacostia,Pentagon City,22.08,18,0.8152173913043479
79,Anacostia,Crystal City,31.63,20,0.6323110970597534
80,Anacostia,Ronald Reagan Washington National Airport,23.0,22,0.9565217391304348
81,Anacostia,Naylor Road,9.28,8,0.8620689655172414
82,Anacostia,Suitland,12.35,11,0.8906882591093118
83,Anacostia,Southern Ave,6.6,5,0.7575757575757576
84,Anacostia,Branch Ave,15.37,14,0.9108653220559532
85,Anacostia,Braddock Road,29.0,27,0.9310344827586207
86,Anacostia,King St-Old Town,68.75,29,0.4218181818181818
87,Anacostia,Eisenhower Ave,67.05,31,0.46234153616703955
88,Anacostia,Van Dorn Street,69.82,40,0.5729017473503295
89,Anacostia,Huntington,84.72,33,0.3895184135977337
90,Anacostia,Franconia-Springfield,94.52,46,0.48666948793906056
91,Anacostia,Capitol Heights,53.7,29,0.5400372439478585
92,Anacostia,Largo Town Center,71.85,37,0.5149617258176757
93,Anacostia,Morgan Boulevard,71.37,34,0.4763906403250665
