,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
0,Addison Road,38.89,-76.9,Anacostia,38.86,-77.0,20.05,9.35
193,Archives,38.89,-77.02,Anacostia,38.86,-77.0,8.98,4.58
4609,Archives,38.89,-77.02,Anacostia,38.86,-77.0,7.22,3.8
289,Arlington Cemetery,38.88,-77.06,Anacostia,38.86,-77.0,12.92,6.1
385,Ashburn,39.0,-77.49,Anacostia,38.86,-77.0,39.27,35.45
481,Ballston-MU,38.88,-77.11,Anacostia,38.86,-77.0,18.97,9.63
577,Benning Road,38.89,-76.94,Anacostia,38.86,-77.0,13.9,6.74
673,Bethesda,38.98,-77.09,Anacostia,38.86,-77.0,37.18,13.43
769,Braddock Road,38.81,-77.05,Anacostia,38.86,-77.0,18.87,10.09
865,Branch Ave,38.83,-76.91,Anacostia,38.86,-77.0,14.87,6.66
961,Brookland-CUA,38.93,-76.99,Anacostia,38.86,-77.0,19.1,7.34
1057,Capitol Heights,38.89,-76.91,Anacostia,38.86,-77.0,17.4,8.11
1153,Capitol South,38.89,-77.01,Anacostia,38.86,-77.0,8.28,3.72
1249,Cheverly,38.92,-76.92,Anacostia,38.86,-77.0,14.78,7.62
1345,Clarendon,38.89,-77.1,Anacostia,38.86,-77.0,16.4,8.95
1441,Cleveland Park,38.94,-77.06,Anacostia,38.86,-77.0,20.8,9.61
8353,Cleveland Park,38.94,-77.06,Anacostia,38.86,-77.0,23.58,10.25
1537,College Park-U of Md,38.98,-76.93,Anacostia,38.86,-77.0,26.45,11.15
1633,Columbia Heights,38.93,-77.03,Anacostia,38.86,-77.0,23.53,7.09
1729,Congress Heights,38.85,-76.99,Anacostia,38.86,-77.0,7.93,1.93
1825,Court House,38.89,-77.09,Anacostia,38.86,-77.0,14.83,8.49
1921,Crystal City,38.86,-77.05,Anacostia,38.86,-77.0,10.48,6.19
2017,Deanwood,38.91,-76.93,Anacostia,38.86,-77.0,14.55,6.18
2113,Dulles Airport,38.96,-77.45,Anacostia,38.86,-77.0,38.82,32.78
2209,Dunn Loring,38.88,-77.23,Anacostia,38.86,-77.0,22.68,18.37
2305,Dupont Circle,38.91,-77.04,Anacostia,38.86,-77.0,18.35,6.32
2401,East Falls Church,38.89,-77.16,Anacostia,38.86,-77.0,18.87,13.87
2497,Eastern Market,38.88,-77.0,Anacostia,38.86,-77.0,7.17,2.51
2593,Eisenhower Ave,38.8,-77.07,Anacostia,38.86,-77.0,17.45,10.5
2689,Farragut West,38.9,-77.04,Anacostia,38.86,-77.0,17.18,5.99
2785,Farragut West,38.9,-77.04,Anacostia,38.86,-77.0,16.97,6.14
2881,Waterfront,38.88,-77.02,Anacostia,38.86,-77.0,6.87,3.5
8641,Waterfront,38.88,-77.02,Anacostia,38.86,-77.0,9.37,1.96
2977,Smithsonian,38.89,-77.03,Anacostia,38.86,-77.0,9.2,4.68
7201,Smithsonian,38.89,-77.03,Anacostia,38.86,-77.0,8.15,4.29
3073,Foggy Bottom-GWU,38.9,-77.05,Anacostia,38.86,-77.0,17.08,6.35
3169,Forest Glen,39.02,-77.04,Anacostia,38.86,-77.0,27.98,21.7
3265,Fort Totten,38.95,-77.0,Anacostia,38.86,-77.0,24.42,8.96
3361,Franconia-Springfield,38.77,-77.17,Anacostia,38.86,-77.0,23.73,16.51
3457,Friendship Heights,38.96,-77.09,Anacostia,38.86,-77.0,29.82,11.78
3553,Gallery Place,38.9,-77.02,Anacostia,38.86,-77.0,10.98,4.87
4417,Gallery Place,38.9,-77.02,Anacostia,38.86,-77.0,8.23,4.14
3649,Georgia Ave-Petworth,38.94,-77.02,Anacostia,38.86,-77.0,23.63,7.33
3745,Glenmont,39.06,-77.05,Anacostia,38.86,-77.0,38.38,25.19
3841,Greenbelt,39.01,-76.91,Anacostia,38.86,-77.0,24.28,17.28
3937,Greensboro,38.92,-77.23,Anacostia,38.86,-77.0,28.05,21.47
4033,Grosvenor-Strathmore,39.03,-77.1,Anacostia,38.86,-77.0,35.05,26.4
4129,Herndon,38.95,-77.38,Anacostia,38.86,-77.0,32.38,28.39
4225,Huntington,38.79,-77.08,Anacostia,38.86,-77.0,15.17,9.66
4321,Innovation Center,38.96,-77.42,Anacostia,38.86,-77.0,38.53,31.17
4513,King St-Old Town,38.81,-77.06,Anacostia,38.86,-77.0,16.07,10.68
4705,Landover,38.93,-76.89,Anacostia,38.86,-77.0,16.57,9.71
4801,Largo Town Center,38.9,-76.85,Anacostia,38.86,-77.0,23.47,14.88
4897,Loudoun Gateway,38.99,-77.46,Anacostia,38.86,-77.0,41.2,34.97
4993,McLean,38.92,-77.21,Anacostia,38.86,-77.0,26.98,17.0
5089,Metro Center,38.9,-77.03,Anacostia,38.86,-77.0,15.37,5.67
5281,Metro Center,38.9,-77.03,Anacostia,38.86,-77.0,11.9,4.99
5185,Medical Center,39.0,-77.1,Anacostia,38.86,-77.0,34.45,25.14
5377,Minnesota Ave,38.9,-76.95,Anacostia,38.86,-77.0,11.48,5.16
