Name_1,HH_below_50k_p75
ADDISON ROAD-SEAT PLEASANT,2950.8
ANACOSTIA,5447.900000000001
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,2587.6
ARLINGTON CEMETERY,208.5
Ashburn,773.9
BALLSTON-MU,2795.4
BENNING ROAD,7150.7
BETHESDA,2412.3
BRADDOCK ROAD,3805.5
BRANCH AVE,1052.4
BROOKLAND-CUA,3310.5
CAPITOL HEIGHTS,6676.4
CAPITOL SOUTH,2949.7
CHEVERLY,2103.4
CLARENDON,2276.2999999999997
CLEVELAND PARK,1615.0
COLLEGE PARK-U OF MD,2819.0
COLUMBIA HEIGHTS,4166.5
CONGRESS HEIGHTS,5352.2
COURT HOUSE,1933.3
CRYSTAL CITY,991.5
DEANWOOD,6399.9
DUNN LORING-MERRIFIELD,1198.4
DUPONT CIRCLE,4680.5
EAST FALLS CHURCH,1133.4
EASTERN MARKET,3458.3
EISENHOWER AVENUE,2034.5
FARRAGUT NORTH,5834.8
FARRAGUT WEST,5189.8
FEDERAL CENTER SW,2621.5
FEDERAL TRIANGLE,2387.8
FOGGY BOTTOM-GWU,4805.3
FOREST GLEN,2824.8
FORT TOTTEN,4686.1
FRANCONIA-SPRINGFIELD,767.2
FRIENDSHIP HEIGHTS,2581.7
GALLERY PL-CHINATOWN,3572.4
GEORGIA AVE-PETWORTH,3972.2999999999997
GLENMONT,2300.7999999999997
GREENBELT,2314.9
GREENSBORO,690.1999999999999
GROSVENOR-STRATHMORE,1249.4
HUNTINGTON,1937.3
Herndon,1244.3
Innovation Center,977.0
JUDICIARY SQUARE,3067.0
KING ST-OLD TOWN,3088.6
L'ENFANT PLAZA,2152.2999999999997
LANDOVER,3385.4
LARGO TOWN CENTER,984.9
Loudoun Gateway,243.39999999999998
MCLEAN,1496.7
MCPHERSON SQUARE,4750.5
MEDICAL CENTER,1624.8999999999999
METRO CENTER,3225.7000000000003
MINNESOTA AVE,7034.400000000001
MORGAN BOULEVARD,1238.3999999999999
MT VERNON SQ 7TH ST-CONVENTION CENTER,5718.0
NAVY YARD-BALLPARK,3241.9
NAYLOR ROAD,3548.6
NEW CARROLLTON,2499.8
NOMA-GALLAUDET,4202.9
PENTAGON,596.6
PENTAGON CITY,1294.7
POTOMAC AVE,3998.6
PRINCE GEORGE'S PLAZA,4098.1
RHODE ISLAND AVE-BRENTWOOD,4142.2
ROCKVILLE,3648.2
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,788.6
ROSSLYN,1339.4
Reston Town Center,1538.9
SHADY GROVE,2171.4
SHAW-HOWARD U,5680.5
SILVER SPRING,3817.1
SMITHSONIAN,1847.3
SOUTHERN AVENUE,3836.6
SPRING HILL,731.4
STADIUM-ARMORY,3268.3
SUITLAND,2095.9
TAKOMA,4933.5
TENLEYTOWN-AU,2689.7
TWINBROOK,2801.4
TYSONS CORNER,798.9
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,5228.0
UNION STATION,3271.1
VAN DORN STREET,784.4
VAN NESS-UDC,2206.6
VIENNA/FAIRFAX-GMU,1355.5
VIRGINIA SQUARE-GMU,2675.0
WATERFRONT,2983.7
WEST FALLS CHURCH-VT/UVA,1246.8
WEST HYATTSVILLE,4567.6
WHEATON,3445.7
WHITE FLINT,1479.8
WIEHLE-RESTON EAST,565.9
WOODLEY PARK-ZOO/ADAMS MORGAN,2152.7
Washington Dulles International Airport,0.0
