,Name_1,hotelcount
0,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,4
1,BETHESDA,1
2,CAPITOL SOUTH,1
3,DUPONT CIRCLE,27
4,EASTERN MARKET,4
5,FARRAGUT NORTH,17
6,FARRAGUT WEST,12
7,FEDERAL CENTER SW,2
8,FEDERAL TRIANGLE,5
9,FOGGY BOTTOM-GWU,18
10,FRIENDSHIP HEIGHTS,2
11,GALLERY PL-CHINATOWN,7
12,GREENSBORO,1
13,JUDICIARY SQUARE,4
14,L'ENFANT PLAZA,3
15,MCLEAN,1
16,MCPHERSON SQUARE,16
17,METRO CENTER,14
18,MT VERNON SQ 7TH ST-CONVENTION CENTER,8
19,NAVY YARD-BALLPARK,2
20,NAYLOR ROAD,1
21,NOMA-GALLAUDET,2
22,ROCKVILLE,1
23,SHAW-HOWARD U,2
24,SILVER SPRING,3
25,SMITHSONIAN,1
26,TWINBROOK,2
27,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,1
28,UNION STATION,1
29,WATERFRONT,4
30,WHITE FLINT,2
31,WOODLEY PARK-ZOO/ADAMS MORGAN,2
