,Name_1,restaurantcount_p75
0,ANACOSTIA,8
1,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,157
2,Ashburn,6
3,BALLSTON-MU,49
4,BENNING ROAD,2
5,BETHESDA,64
6,BRADDOCK ROAD,30
7,BRANCH AVE,2
8,BROOKLAND-CUA,13
9,CAPITOL SOUTH,63
10,CLARENDON,45
11,CLEVELAND PARK,28
12,COLLEGE PARK-U OF MD,21
13,COLUMBIA HEIGHTS,106
14,CONGRESS HEIGHTS,1
15,COURT HOUSE,52
16,CRYSTAL CITY,36
17,DUNN LORING-MERRIFIELD,32
18,DUPONT CIRCLE,216
19,EAST FALLS CHURCH,2
20,EASTERN MARKET,51
21,EISENHOWER AVENUE,19
22,FARRAGUT NORTH,223
23,FARRAGUT WEST,210
24,FEDERAL CENTER SW,59
25,FEDERAL TRIANGLE,166
26,FOGGY BOTTOM-GWU,156
27,FOREST GLEN,7
28,FORT TOTTEN,1
29,FRANCONIA-SPRINGFIELD,3
30,FRIENDSHIP HEIGHTS,23
31,GALLERY PL-CHINATOWN,194
32,GEORGIA AVE-PETWORTH,70
33,GLENMONT,3
34,GREENBELT,3
35,GREENSBORO,30
36,HUNTINGTON,14
37,Herndon,12
38,Innovation Center,3
39,JUDICIARY SQUARE,143
40,KING ST-OLD TOWN,34
41,L'ENFANT PLAZA,59
42,LARGO TOWN CENTER,1
43,MCLEAN,13
44,MCPHERSON SQUARE,271
45,MEDICAL CENTER,19
46,METRO CENTER,221
47,MINNESOTA AVE,1
48,MT VERNON SQ 7TH ST-CONVENTION CENTER,218
49,NAVY YARD-BALLPARK,66
50,NAYLOR ROAD,3
51,NEW CARROLLTON,1
52,NOMA-GALLAUDET,42
53,PENTAGON,18
54,PENTAGON CITY,27
55,POTOMAC AVE,31
56,PRINCE GEORGE'S PLAZA,7
57,RHODE ISLAND AVE-BRENTWOOD,10
58,ROCKVILLE,27
59,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,25
60,ROSSLYN,29
61,Reston Town Center,30
62,SHADY GROVE,5
63,SHAW-HOWARD U,129
64,SILVER SPRING,48
65,SMITHSONIAN,78
66,SOUTHERN AVENUE,1
67,SPRING HILL,20
68,STADIUM-ARMORY,4
69,TAKOMA,17
70,TENLEYTOWN-AU,14
71,TWINBROOK,26
72,TYSONS CORNER,46
73,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,134
74,UNION STATION,72
75,VAN DORN STREET,8
76,VAN NESS-UDC,20
77,VIENNA/FAIRFAX-GMU,3
78,VIRGINIA SQUARE-GMU,70
79,WATERFRONT,54
80,WEST FALLS CHURCH-VT/UVA,5
81,WHEATON,19
82,WHITE FLINT,34
83,WIEHLE-RESTON EAST,9
84,WOODLEY PARK-ZOO/ADAMS MORGAN,62
85,Washington Dulles International Airport,12
