Name_1,ridership
ADDISON ROAD,14657.0
ANACOSTIA,25523.0
ARCHIVES-NAVY MEMORIAL,48710.0
ARLINGTON CEMETERY,12263.0
BALLSTON,58884.0
BENNING ROAD,15823.0
BETHESDA,54109.0
BRADDOCK ROAD,28905.0
BRANCH AVENUE,25557.0
BROOKLAND,40244.0
CAPITOL HEIGHTS,12437.0
CAPITOL SOUTH,54774.0
CHEVERLY,5748.0
CLARENDON,27400.0
CLEVELAND PARK,27950.0
COLLEGE PARK-U OF MD,24834.0
COLUMBIA HEIGHTS,83943.0
CONGRESS HEIGHTS,12159.0
COURT HOUSE,36765.0
CRYSTAL CITY,59312.0
DEANWOOD,7648.0
DUNN LORING,18129.0
DUPONT CIRCLE,101270.0
EAST FALLS CHURCH,26470.0
EASTERN MARKET,37530.0
EISENHOWER AVENUE,11151.0
FARRAGUT NORTH,108974.0
FARRAGUT WEST,98305.0
FEDERAL CENTER SW,25078.0
FEDERAL TRIANGLE,37563.0
FOGGY BOTTOM,106935.0
FOREST GLEN,14925.0
FORT TOTTEN,58388.0
FRANCONIA-SPRINGFIELD,34938.0
FRIENDSHIP HEIGHTS,44251.0
GALLERY PLACE-CHINATOWN,107639.0
GEORGIA AVENUE-PETWORTH,39822.0
GLENMONT,38647.0
GREENBELT,32656.0
GREENSBORO,6713.0
GROSVENOR,26201.0
HUNTINGTON,38642.0
JUDICIARY SQUARE,34640.0
KING ST-OLD TOWN,254105.0
L'ENFANT PLAZA,95986.0
LANDOVER,9140.0
LARGO TOWN CENTER,22566.0
MCLEAN,12205.0
MCPHERSON SQUARE,66937.0
MEDICAL CENTER,37691.0
METRO CENTER,137496.0
MINNESOTA AVENUE,8413.0
MORGAN BLVD.,8626.0
MT. VERNON SQUARE-UDC,30139.0
NAVY YARD,64062.0
NAYLOR ROAD,10418.0
NEW CARROLLTON,201129.0
NEW YORK AVE,74632.0
PENTAGON,84530.0
PENTAGON CITY,74050.0
POTOMAC AVENUE,24812.0
PRINCE GEORGE'S PLAZA,31879.0
REAGAN WASHINGTON NATIONAL AIRPORT,11598913.0
RHODE ISLAND AVENUE,41447.0
ROCKVILLE,28066.0
ROSSLYN,71480.0
SHADY GROVE,58078.0
SHAW-HOWARD UNIVERSITY,29773.0
SILVER SPRING,70055.0
SMITHSONIAN,54625.0
SOUTHERN AVENUE,24837.0
SPRING HILL,5715.0
STADIUM-ARMORY,14667.0
SUITLAND,19860.0
TAKOMA,33108.0
TENLEYTOWN-AU,26387.0
TWINBROOK,27975.0
TYSONS CORNER,16663.0
U STREET-CARDOZO,43109.0
UNION STATION,3778695.0
VAN DORN STREET,15689.0
VAN NESS-UDC,34109.0
VIENNA,40750.0
VIRGINIA SQUARE-GMU,20732.0
WASHINGTON DULLES INTERNATIONAL AIRPORT,10250900.0
WATERFRONT,25418.0
WEST FALLS CHURCH,10048.0
WEST HYATTSVILLE,28916.0
WHEATON,25240.0
WHITE FLINT,20491.0
WIEHLE,39387.0
WOODLEY PARK-ZOO,42636.0
