Name_1,ridership_p75
ADDISON ROAD,19259.0
ANACOSTIA,40970.0
ARCHIVES-NAVY MEMORIAL,76961.0
ARLINGTON CEMETERY,27714.0
BALLSTON,87634.0
BENNING ROAD,23432.0
BETHESDA,82457.0
BRADDOCK ROAD,252681.0
BRANCH AVENUE,32425.0
BROOKLAND,62047.0
CAPITOL HEIGHTS,17617.0
CAPITOL SOUTH,79204.0
CHEVERLY,7019.0
CLARENDON,44611.0
CLEVELAND PARK,47161.0
COLLEGE PARK-U OF MD,41493.0
COLUMBIA HEIGHTS,145682.0
CONGRESS HEIGHTS,21003.0
COURT HOUSE,56261.0
CRYSTAL CITY,96911.0
DEANWOOD,10338.0
DUNN LORING,26357.0
DUPONT CIRCLE,179972.0
EAST FALLS CHURCH,38493.0
EASTERN MARKET,67273.0
EISENHOWER AVENUE,229133.0
FARRAGUT NORTH,151641.0
FARRAGUT WEST,135398.0
FEDERAL CENTER SW,38339.0
FEDERAL TRIANGLE,54974.0
FOGGY BOTTOM,205432.0
FOREST GLEN,20012.0
FORT TOTTEN,91867.0
FRANCONIA-SPRINGFIELD,51161.0
FRIENDSHIP HEIGHTS,68890.0
GALLERY PLACE-CHINATOWN,214496.0
GEORGIA AVENUE-PETWORTH,68146.0
GLENMONT,51417.0
GREENBELT,47491.0
GREENSBORO,10246.0
GROSVENOR,38465.0
HUNTINGTON,52728.0
JUDICIARY SQUARE,3682549.0
KING ST-OLD TOWN,282886.0
L'ENFANT PLAZA,152010.0
LANDOVER,11228.0
LARGO TOWN CENTER,30200.0
MCLEAN,16688.0
MCPHERSON SQUARE,98922.0
MEDICAL CENTER,49389.0
METRO CENTER,219753.0
MINNESOTA AVENUE,11221.0
MORGAN BLVD.,11251.0
MT. VERNON SQUARE-UDC,54668.0
NAVY YARD,152525.0
NAYLOR ROAD,14046.0
NEW CARROLLTON,210240.0
NEW YORK AVE,116581.0
NOMA-GALLAUDET,3633327.0
PENTAGON,98040.0
PENTAGON CITY,120998.0
POTOMAC AVENUE,37569.0
PRINCE GEORGE'S PLAZA,47800.0
REAGAN WASHINGTON NATIONAL AIRPORT,11649626.0
RHODE ISLAND AVENUE,65495.0
ROCKVILLE,38614.0
ROSSLYN,111828.0
SHADY GROVE,83819.0
SHAW-HOWARD UNIVERSITY,54329.0
SILVER SPRING,106496.0
SMITHSONIAN,116328.0
SOUTHERN AVENUE,37072.0
SPRING HILL,9059.0
STADIUM-ARMORY,34324.0
SUITLAND,26307.0
TAKOMA,50036.0
TENLEYTOWN-AU,59122.0
TWINBROOK,39827.0
TYSONS CORNER,30256.0
U STREET-CARDOZO,84773.0
UNION STATION,3851666.0
VAN DORN STREET,21442.0
VAN NESS-UDC,55761.0
VIENNA,60880.0
VIRGINIA SQUARE-GMU,30968.0
WASHINGTON DULLES INTERNATIONAL AIRPORT,10250900.0
WATERFRONT,44580.0
WEST FALLS CHURCH,14008.0
WEST HYATTSVILLE,42111.0
WHEATON,35269.0
WHITE FLINT,30987.0
WIEHLE,62358.0
WOODLEY PARK-ZOO,80619.0
