Name_1,proportional street density
ADDISON ROAD-SEAT PLEASANT,87.78248653909749
ANACOSTIA,71.77576707594027
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,170.83242579109827
ARLINGTON CEMETERY,54.509763961887586
Ashburn,5.291906190666471
BALLSTON-MU,1439.739713502408
BENNING ROAD,670.6880260901244
BETHESDA,573.288938049771
BRADDOCK ROAD,1063.593197308695
BRANCH AVE,14.523606168696183
BROOKLAND-CUA,423.5627219422486
CAPITOL HEIGHTS,633.4513926150623
CAPITOL SOUTH,208.5982651900323
CHEVERLY,32.66943220033038
CLARENDON,1282.772236061964
CLEVELAND PARK,268.2979311293772
COLLEGE PARK-U OF MD,133.39135087296083
COLUMBIA HEIGHTS,2303.655698509816
CONGRESS HEIGHTS,280.01746341625676
COURT HOUSE,1224.0288557210847
CRYSTAL CITY,289.18617587964684
DEANWOOD,192.83464408432468
DUNN LORING-MERRIFIELD,99.77858990770355
DUPONT CIRCLE,2045.0406281044816
EAST FALLS CHURCH,261.25426135575265
EASTERN MARKET,368.0260154432673
EISENHOWER AVENUE,60.551595470626026
FARRAGUT NORTH,410.0056296240495
FARRAGUT WEST,344.00462399492613
FEDERAL CENTER SW,132.87379333117548
FEDERAL TRIANGLE,122.58063677461276
FOGGY BOTTOM-GWU,320.95281038452646
FOREST GLEN,240.58410394652424
FORT TOTTEN,402.74951123158246
FRANCONIA-SPRINGFIELD,59.72452849437164
FRIENDSHIP HEIGHTS,1071.362583783147
GALLERY PL-CHINATOWN,319.90026919918625
GEORGIA AVE-PETWORTH,848.6287928644252
GLENMONT,328.7781037969415
GREENBELT,21.149250820165626
GREENSBORO,74.50244180944814
GROSVENOR-STRATHMORE,268.7995699659614
HUNTINGTON,287.7548085097279
Herndon,107.99458633002325
Innovation Center,28.01421365861693
JUDICIARY SQUARE,179.13808425733185
KING ST-OLD TOWN,541.9724915190177
L'ENFANT PLAZA,166.28628828643048
LANDOVER,13.37057017831963
LARGO TOWN CENTER,26.509013153333044
Loudoun Gateway,0.11966651148175343
MCLEAN,59.95678014523276
MCPHERSON SQUARE,342.8700476672019
MEDICAL CENTER,241.92299795548217
METRO CENTER,321.26774358295995
MINNESOTA AVE,368.41716381958304
MORGAN BOULEVARD,53.42869953997447
MT VERNON SQ 7TH ST-CONVENTION CENTER,1276.6590484267363
NAVY YARD-BALLPARK,725.2525683894553
NAYLOR ROAD,143.50281255978857
NEW CARROLLTON,82.64263742240185
NOMA-GALLAUDET,591.8715494667148
PENTAGON,83.60280384603324
PENTAGON CITY,331.0240307460982
POTOMAC AVE,357.09461857835186
PRINCE GEORGE'S PLAZA,158.85175319571727
RHODE ISLAND AVE-BRENTWOOD,247.06869050987444
ROCKVILLE,347.7124350920849
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,16.7243548603753
ROSSLYN,375.20149268694263
Reston Town Center,146.2315904651919
SHADY GROVE,41.96987875169915
SHAW-HOWARD U,1694.4533758642124
SILVER SPRING,865.9145100193479
SMITHSONIAN,121.71815161067758
SOUTHERN AVENUE,152.05472381916286
SPRING HILL,48.8504467818809
STADIUM-ARMORY,731.0553793237864
SUITLAND,27.896648290156
TAKOMA,914.0911787020104
TENLEYTOWN-AU,516.9023144996684
TWINBROOK,316.0772149408723
TYSONS CORNER,49.778017223570714
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,1893.0245936495232
UNION STATION,227.10916655563202
VAN DORN STREET,15.966222462600166
VAN NESS-UDC,222.47095330166397
VIENNA/FAIRFAX-GMU,186.82212290350853
VIRGINIA SQUARE-GMU,1333.4368586428434
WATERFRONT,442.8362638583975
WEST FALLS CHURCH-VT/UVA,51.84502808842176
WEST HYATTSVILLE,269.5115966834915
WHEATON,270.19422149219434
WHITE FLINT,179.18550383782895
WIEHLE-RESTON EAST,31.639675910723778
WOODLEY PARK-ZOO/ADAMS MORGAN,676.3217780530749
Washington Dulles International Airport,0.10117446153689261
