Name_1,Jobs_auto,Jobs_transit_p5
ADDISON ROAD-SEAT PLEASANT,22677332.0,15074627.0
ANACOSTIA,41573746.0,47484669.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,5780578.0,13524248.0
ARLINGTON CEMETERY,8573864.0,0.0
Ashburn,4006340.0,0.0
BALLSTON-MU,50101143.0,113915773.0
BENNING ROAD,65120406.0,78475113.0
BETHESDA,70882695.0,129826456.0
BRADDOCK ROAD,29767537.0,45113809.0
BRANCH AVE,4976036.0,2166840.0
BROOKLAND-CUA,58971270.0,84269617.0
CAPITOL HEIGHTS,72930043.0,71664678.0
CAPITOL SOUTH,55347932.0,92085891.0
CHEVERLY,22528851.0,10213848.0
CLARENDON,42022161.0,67933491.0
CLEVELAND PARK,31670972.0,46701329.0
COLLEGE PARK-U OF MD,12889409.0,16390004.0
COLUMBIA HEIGHTS,63994397.0,104847645.0
CONGRESS HEIGHTS,37380140.0,44279824.0
COURT HOUSE,45750097.0,74084145.0
CRYSTAL CITY,18048261.0,23870415.0
DEANWOOD,34529013.0,34737901.0
DUNN LORING-MERRIFIELD,2817378.0,2956188.0
DUPONT CIRCLE,89841314.0,156547374.0
EAST FALLS CHURCH,80897025.0,173471230.0
EASTERN MARKET,116535159.0,167693848.0
EISENHOWER AVENUE,5816561.0,8125372.0
FARRAGUT NORTH,71842156.0,147001711.0
FARRAGUT WEST,89426846.0,184200794.0
FEDERAL CENTER SW,21793925.0,38240371.0
FEDERAL TRIANGLE,3101936.0,6386996.0
FOGGY BOTTOM-GWU,48572406.0,100492928.0
FOREST GLEN,63550931.0,92371153.0
FORT TOTTEN,38766031.0,57391141.0
FRANCONIA-SPRINGFIELD,10669886.0,4527728.0
FRIENDSHIP HEIGHTS,92536816.0,150446152.0
GALLERY PL-CHINATOWN,33053464.0,64367980.0
GEORGIA AVE-PETWORTH,99581532.0,154038631.0
GLENMONT,30940225.0,40757434.0
GREENBELT,25116317.0,24235578.0
GREENSBORO,6345965.0,5726632.0
GROSVENOR-STRATHMORE,19780093.0,25066387.0
HUNTINGTON,29455940.0,35861183.0
Herndon,6273860.0,2688501.0
Innovation Center,3153402.0,721359.0
JUDICIARY SQUARE,19328130.0,39239520.0
KING ST-OLD TOWN,42326758.0,66367058.0
L'ENFANT PLAZA,14772303.0,25971393.0
LANDOVER,3623935.0,2141057.0
LARGO TOWN CENTER,6809106.0,614897.0
Loudoun Gateway,924540.0,0.0
MCLEAN,4154260.0,1336880.0
MCPHERSON SQUARE,50957290.0,104020752.0
MEDICAL CENTER,32893543.0,63738314.0
METRO CENTER,26723308.0,53915003.0
MINNESOTA AVE,55977194.0,64858355.0
MORGAN BOULEVARD,12668124.0,9125319.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,56822898.0,103259214.0
NAVY YARD-BALLPARK,37180374.0,58643169.0
NAYLOR ROAD,13307997.0,10764275.0
NEW CARROLLTON,13011900.0,15032634.0
NOMA-GALLAUDET,28374713.0,38190806.0
PENTAGON,12861131.0,3607206.0
PENTAGON CITY,31112775.0,35456622.0
POTOMAC AVE,81102374.0,107716247.0
PRINCE GEORGE'S PLAZA,27334298.0,46222142.0
RHODE ISLAND AVE-BRENTWOOD,37616069.0,50949891.0
ROCKVILLE,36673470.0,81818200.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,2759735.0,0.0
ROSSLYN,45845082.0,74526768.0
Reston Town Center,18674364.0,10920678.0
SHADY GROVE,14644563.0,14352069.0
SHAW-HOWARD U,99621511.0,158603223.0
SILVER SPRING,40064931.0,59247423.0
SMITHSONIAN,0.0,0.0
SOUTHERN AVENUE,7923446.0,8720709.0
SPRING HILL,5117604.0,4780962.0
STADIUM-ARMORY,51386109.0,67817730.0
SUITLAND,14077806.0,12151373.0
TAKOMA,65329897.0,99793035.0
TENLEYTOWN-AU,76429448.0,120176661.0
TWINBROOK,36360227.0,55519787.0
TYSONS CORNER,527536.0,316014.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,72889990.0,115511464.0
UNION STATION,36849449.0,70560466.0
VAN DORN STREET,5226446.0,3679933.0
VAN NESS-UDC,39377617.0,60859657.0
VIENNA/FAIRFAX-GMU,20948438.0,20784754.0
VIRGINIA SQUARE-GMU,36108401.0,70143201.0
WATERFRONT,18326448.0,30498968.0
WEST FALLS CHURCH-VT/UVA,8462553.0,10522056.0
WEST HYATTSVILLE,24579590.0,38315183.0
WHEATON,28830145.0,39001037.0
WHITE FLINT,25156632.0,51902258.0
WIEHLE-RESTON EAST,5240397.0,3567783.0
WOODLEY PARK-ZOO/ADAMS MORGAN,44481343.0,73975540.0
Washington Dulles International Airport,794655.0,0.0
