Name_1,Num of Household with 1 Car
ADDISON ROAD-SEAT PLEASANT,182.0
ANACOSTIA,62.5
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,0.0
ARLINGTON CEMETERY,0.0
Ashburn,0.0
BALLSTON-MU,63.5
BENNING ROAD,60.0
BETHESDA,72.0
BRADDOCK ROAD,118.0
BRANCH AVE,267.0
BROOKLAND-CUA,128.0
CAPITOL HEIGHTS,130.0
CAPITOL SOUTH,90.0
CHEVERLY,111.5
CLARENDON,64.0
CLEVELAND PARK,168.0
COLLEGE PARK-U OF MD,115.0
COLUMBIA HEIGHTS,124.0
CONGRESS HEIGHTS,54.5
COURT HOUSE,71.0
CRYSTAL CITY,0.0
DEANWOOD,130.0
DUNN LORING-MERRIFIELD,88.0
DUPONT CIRCLE,79.0
EAST FALLS CHURCH,113.5
EASTERN MARKET,176.0
EISENHOWER AVENUE,0.0
FARRAGUT NORTH,56.0
FARRAGUT WEST,7.0
FEDERAL CENTER SW,7.0
FEDERAL TRIANGLE,24.0
FOGGY BOTTOM-GWU,53.0
FOREST GLEN,101.0
FORT TOTTEN,96.0
FRANCONIA-SPRINGFIELD,148.0
FRIENDSHIP HEIGHTS,137.5
GALLERY PL-CHINATOWN,80.0
GEORGIA AVE-PETWORTH,125.0
GLENMONT,30.0
GREENBELT,108.5
GREENSBORO,72.0
GROSVENOR-STRATHMORE,140.5
HUNTINGTON,102.0
Herndon,44.0
Innovation Center,0.0
JUDICIARY SQUARE,33.0
KING ST-OLD TOWN,144.0
L'ENFANT PLAZA,0.0
LANDOVER,67.5
LARGO TOWN CENTER,230.0
Loudoun Gateway,80.0
MCLEAN,154.5
MCPHERSON SQUARE,41.0
MEDICAL CENTER,54.0
METRO CENTER,42.0
MINNESOTA AVE,94.5
MORGAN BOULEVARD,157.5
MT VERNON SQ 7TH ST-CONVENTION CENTER,82.5
NAVY YARD-BALLPARK,26.5
NAYLOR ROAD,59.0
NEW CARROLLTON,110.0
NOMA-GALLAUDET,79.0
PENTAGON,0.0
PENTAGON CITY,17.0
POTOMAC AVE,111.0
PRINCE GEORGE'S PLAZA,157.0
RHODE ISLAND AVE-BRENTWOOD,166.0
ROCKVILLE,124.5
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,54.0
ROSSLYN,120.0
Reston Town Center,109.5
SHADY GROVE,106.0
SHAW-HOWARD U,108.0
SILVER SPRING,38.0
SMITHSONIAN,0.0
SOUTHERN AVENUE,99.5
SPRING HILL,60.5
STADIUM-ARMORY,210.0
SUITLAND,26.5
TAKOMA,116.0
TENLEYTOWN-AU,173.0
TWINBROOK,75.0
TYSONS CORNER,20.5
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,120.5
UNION STATION,0.0
VAN DORN STREET,188.5
VAN NESS-UDC,118.0
VIENNA/FAIRFAX-GMU,121.0
VIRGINIA SQUARE-GMU,71.0
WATERFRONT,61.0
WEST FALLS CHURCH-VT/UVA,118.0
WEST HYATTSVILLE,29.0
WHEATON,76.0
WHITE FLINT,155.0
WIEHLE-RESTON EAST,70.5
WOODLEY PARK-ZOO/ADAMS MORGAN,127.5
Washington Dulles International Airport,0.0
