Name_1,Num_of_Household_with_No_Car_p5
ADDISON ROAD-SEAT PLEASANT,16.0
ANACOSTIA,9.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,0.0
ARLINGTON CEMETERY,0.0
Ashburn,0.0
BALLSTON-MU,0.0
BENNING ROAD,15.5
BETHESDA,0.0
BRADDOCK ROAD,0.0
BRANCH AVE,23.0
BROOKLAND-CUA,21.0
CAPITOL HEIGHTS,20.5
CAPITOL SOUTH,17.0
CHEVERLY,6.5
CLARENDON,0.0
CLEVELAND PARK,22.0
COLLEGE PARK-U OF MD,18.5
COLUMBIA HEIGHTS,52.0
CONGRESS HEIGHTS,14.0
COURT HOUSE,0.0
CRYSTAL CITY,0.0
DEANWOOD,18.0
DUNN LORING-MERRIFIELD,0.0
DUPONT CIRCLE,90.0
EAST FALLS CHURCH,0.0
EASTERN MARKET,32.0
EISENHOWER AVENUE,0.0
FARRAGUT NORTH,60.0
FARRAGUT WEST,3.5
FEDERAL CENTER SW,0.0
FEDERAL TRIANGLE,20.0
FOGGY BOTTOM-GWU,51.0
FOREST GLEN,0.0
FORT TOTTEN,48.5
FRANCONIA-SPRINGFIELD,4.5
FRIENDSHIP HEIGHTS,10.0
GALLERY PL-CHINATOWN,20.0
GEORGIA AVE-PETWORTH,32.0
GLENMONT,0.0
GREENBELT,10.0
GREENSBORO,3.5
GROSVENOR-STRATHMORE,14.0
HUNTINGTON,11.0
Herndon,7.0
Innovation Center,0.0
JUDICIARY SQUARE,20.0
KING ST-OLD TOWN,8.0
L'ENFANT PLAZA,0.0
LANDOVER,0.0
LARGO TOWN CENTER,8.5
Loudoun Gateway,0.0
MCLEAN,15.5
MCPHERSON SQUARE,38.0
MEDICAL CENTER,0.0
METRO CENTER,31.0
MINNESOTA AVE,21.5
MORGAN BOULEVARD,5.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,32.0
NAVY YARD-BALLPARK,3.5
NAYLOR ROAD,4.5
NEW CARROLLTON,11.0
NOMA-GALLAUDET,3.0
PENTAGON,0.0
PENTAGON CITY,0.0
POTOMAC AVE,21.0
PRINCE GEORGE'S PLAZA,15.0
RHODE ISLAND AVE-BRENTWOOD,21.0
ROCKVILLE,15.5
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,25.0
ROSSLYN,0.0
Reston Town Center,0.0
SHADY GROVE,0.0
SHAW-HOWARD U,33.0
SILVER SPRING,0.0
SMITHSONIAN,0.0
SOUTHERN AVENUE,7.5
SPRING HILL,0.0
STADIUM-ARMORY,21.0
SUITLAND,0.0
TAKOMA,5.0
TENLEYTOWN-AU,14.5
TWINBROOK,0.0
TYSONS CORNER,3.5
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,37.0
UNION STATION,0.0
VAN DORN STREET,17.5
VAN NESS-UDC,0.0
VIENNA/FAIRFAX-GMU,14.0
VIRGINIA SQUARE-GMU,0.0
WATERFRONT,9.0
WEST FALLS CHURCH-VT/UVA,7.0
WEST HYATTSVILLE,9.0
WHEATON,17.5
WHITE FLINT,10.0
WIEHLE-RESTON EAST,0.0
WOODLEY PARK-ZOO/ADAMS MORGAN,40.5
Washington Dulles International Airport,0.0
