Name_1,High_School_hh_p5
ADDISON ROAD-SEAT PLEASANT,177.0
ANACOSTIA,
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,
ARLINGTON CEMETERY,
Ashburn,
BALLSTON-MU,
BENNING ROAD,
BETHESDA,137.0
BRADDOCK ROAD,
BRANCH AVE,555.0
BROOKLAND-CUA,
CAPITOL HEIGHTS,164.5
CAPITOL SOUTH,
CHEVERLY,174.5
CLARENDON,
CLEVELAND PARK,
COLLEGE PARK-U OF MD,98.0
COLUMBIA HEIGHTS,
CONGRESS HEIGHTS,
COURT HOUSE,
CRYSTAL CITY,
DEANWOOD,209.0
DUNN LORING-MERRIFIELD,
DUPONT CIRCLE,
EAST FALLS CHURCH,
EASTERN MARKET,
EISENHOWER AVENUE,
FARRAGUT NORTH,
FARRAGUT WEST,
FEDERAL CENTER SW,
FEDERAL TRIANGLE,
FOGGY BOTTOM-GWU,
FOREST GLEN,277.0
FORT TOTTEN,
FRANCONIA-SPRINGFIELD,
FRIENDSHIP HEIGHTS,146.0
GALLERY PL-CHINATOWN,
GEORGIA AVE-PETWORTH,
GLENMONT,238.0
GREENBELT,213.0
GREENSBORO,
GROSVENOR-STRATHMORE,249.0
HUNTINGTON,
Herndon,
Innovation Center,
JUDICIARY SQUARE,
KING ST-OLD TOWN,
L'ENFANT PLAZA,
LANDOVER,346.5
LARGO TOWN CENTER,255.5
Loudoun Gateway,
MCLEAN,
MCPHERSON SQUARE,
MEDICAL CENTER,137.5
METRO CENTER,
MINNESOTA AVE,
MORGAN BOULEVARD,455.5
MT VERNON SQ 7TH ST-CONVENTION CENTER,
NAVY YARD-BALLPARK,
NAYLOR ROAD,157.0
NEW CARROLLTON,283.0
NOMA-GALLAUDET,
PENTAGON,
PENTAGON CITY,
POTOMAC AVE,
PRINCE GEORGE'S PLAZA,304.0
RHODE ISLAND AVE-BRENTWOOD,
ROCKVILLE,202.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,
ROSSLYN,
Reston Town Center,
SHADY GROVE,239.0
SHAW-HOWARD U,
SILVER SPRING,71.0
SMITHSONIAN,
SOUTHERN AVENUE,441.0
SPRING HILL,
STADIUM-ARMORY,
SUITLAND,255.0
TAKOMA,138.5
TENLEYTOWN-AU,
TWINBROOK,200.0
TYSONS CORNER,
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,
UNION STATION,
VAN DORN STREET,
VAN NESS-UDC,
VIENNA/FAIRFAX-GMU,
VIRGINIA SQUARE-GMU,
WATERFRONT,
WEST FALLS CHURCH-VT/UVA,
WEST HYATTSVILLE,383.0
WHEATON,336.0
WHITE FLINT,163.0
WIEHLE-RESTON EAST,
WOODLEY PARK-ZOO/ADAMS MORGAN,
Washington Dulles International Airport,
