Name_1,High_School_p75
ADDISON ROAD-SEAT PLEASANT,177.0
ANACOSTIA,
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,
ARLINGTON CEMETERY,
Ashburn,
BALLSTON-MU,
BENNING ROAD,
BETHESDA,172.0
BRADDOCK ROAD,
BRANCH AVE,241.0
BROOKLAND-CUA,
CAPITOL HEIGHTS,177.0
CAPITOL SOUTH,
CHEVERLY,209.0
CLARENDON,
CLEVELAND PARK,
COLLEGE PARK-U OF MD,130.0
COLUMBIA HEIGHTS,
CONGRESS HEIGHTS,620.5
COURT HOUSE,
CRYSTAL CITY,
DEANWOOD,221.0
DUNN LORING-MERRIFIELD,
DUPONT CIRCLE,
EAST FALLS CHURCH,
EASTERN MARKET,
EISENHOWER AVENUE,
FARRAGUT NORTH,
FARRAGUT WEST,
FEDERAL CENTER SW,
FEDERAL TRIANGLE,
FOGGY BOTTOM-GWU,
FOREST GLEN,229.0
FORT TOTTEN,339.0
FRANCONIA-SPRINGFIELD,
FRIENDSHIP HEIGHTS,201.0
GALLERY PL-CHINATOWN,
GEORGIA AVE-PETWORTH,
GLENMONT,279.0
GREENBELT,183.0
GREENSBORO,
GROSVENOR-STRATHMORE,176.0
HUNTINGTON,
Herndon,
Innovation Center,
JUDICIARY SQUARE,
KING ST-OLD TOWN,
L'ENFANT PLAZA,
LANDOVER,335.0
LARGO TOWN CENTER,291.0
Loudoun Gateway,
MCLEAN,
MCPHERSON SQUARE,
MEDICAL CENTER,191.0
METRO CENTER,
MINNESOTA AVE,
MORGAN BOULEVARD,292.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,
NAVY YARD-BALLPARK,
NAYLOR ROAD,157.0
NEW CARROLLTON,311.0
NOMA-GALLAUDET,
PENTAGON,
PENTAGON CITY,
POTOMAC AVE,
PRINCE GEORGE'S PLAZA,383.0
RHODE ISLAND AVE-BRENTWOOD,
ROCKVILLE,224.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,
ROSSLYN,
Reston Town Center,
SHADY GROVE,204.0
SHAW-HOWARD U,
SILVER SPRING,117.0
SMITHSONIAN,
SOUTHERN AVENUE,311.0
SPRING HILL,
STADIUM-ARMORY,
SUITLAND,126.0
TAKOMA,266.0
TENLEYTOWN-AU,
TWINBROOK,195.0
TYSONS CORNER,
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,
UNION STATION,
VAN DORN STREET,
VAN NESS-UDC,
VIENNA/FAIRFAX-GMU,
VIRGINIA SQUARE-GMU,
WATERFRONT,
WEST FALLS CHURCH-VT/UVA,
WEST HYATTSVILLE,294.0
WHEATON,288.5
WHITE FLINT,239.0
WIEHLE-RESTON EAST,
WOODLEY PARK-ZOO/ADAMS MORGAN,
Washington Dulles International Airport,
