Name_1,TOTAL
ANACOSTIA,1593.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,728.0
BALLSTON-MU,2436.0
BENNING ROAD,752.0
BETHESDA,2889.0
BROOKLAND-CUA,910.0
CAPITOL HEIGHTS,1011.0
CAPITOL SOUTH,433.0
CLARENDON,0.0
COLUMBIA HEIGHTS,2114.0
CONGRESS HEIGHTS,497.0
COURT HOUSE,699.0
DEANWOOD,1011.0
DUNN LORING-MERRIFIELD,531.0
DUPONT CIRCLE,176.0
EASTERN MARKET,1738.0
FARRAGUT NORTH,441.0
FARRAGUT WEST,441.0
FEDERAL CENTER SW,906.0
FEDERAL TRIANGLE,663.0
FOGGY BOTTOM-GWU,679.0
FORT TOTTEN,1082.0
GALLERY PL-CHINATOWN,728.0
GEORGIA AVE-PETWORTH,1578.0
JUDICIARY SQUARE,728.0
L'ENFANT PLAZA,968.0
MCPHERSON SQUARE,297.0
METRO CENTER,1025.0
MINNESOTA AVE,1206.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,944.0
NAVY YARD-BALLPARK,369.0
NOMA-GALLAUDET,988.0
POTOMAC AVE,2295.0
PRINCE GEORGE'S PLAZA,1139.0
RHODE ISLAND AVE-BRENTWOOD,1429.0
ROCKVILLE,2410.0
ROSSLYN,0.0
SHAW-HOWARD U,2252.0
STADIUM-ARMORY,1239.0
TAKOMA,477.0
TENLEYTOWN-AU,4095.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,2561.0
UNION STATION,513.0
VAN NESS-UDC,429.0
WATERFRONT,692.0
WOODLEY PARK-ZOO/ADAMS MORGAN,737.0
