,START_PLACE_NAME,END_PLACE_NAME,parking_user
0,Addison Road,Anacostia,0.0
1,Addison Road,Archives-Navy Memorial,9.0
2,Addison Road,Arlington Cemetery,0.0
3,Addison Road,Ballston,0.0
4,Addison Road,Benning Road,0.0
5,Addison Road,Bethesda,0.0
6,Addison Road,Braddock Road,0.0
7,Addison Road,Branch Avenue,0.0
8,Addison Road,Brookland,0.0
9,Addison Road,Capitol Heights,0.0
10,Addison Road,Capitol South,18.0
11,Addison Road,Clarendon,0.0
12,Addison Road,Cleveland Park,1.0
13,Addison Road,College Park-U of MD,0.0
14,Addison Road,Columbia Heights,0.0
15,Addison Road,Congress Heights,0.0
16,Addison Road,Court House,0.0
17,Addison Road,Crystal City,0.0
18,Addison Road,Deanwood,0.0
19,Addison Road,Dunn Loring,0.0
20,Addison Road,Dupont Circle,1.0
21,Addison Road,East Falls Church,0.0
22,Addison Road,Eastern Market,27.0
23,Addison Road,Eisenhower Avenue,0.0
24,Addison Road,Farragut North,0.0
25,Addison Road,Farragut West,150.0
26,Addison Road,Federal Center SW,35.0
27,Addison Road,Federal Triangle,76.0
28,Addison Road,Foggy Bottom,62.0
29,Addison Road,Forest Glen,0.0
30,Addison Road,Fort Totten,0.0
31,Addison Road,Franconia-Springfield,0.0
32,Addison Road,Friendship Heights,0.0
33,Addison Road,Gallery Place-Chinatown,1.0
34,Addison Road,Georgia Avenue-Petworth,0.0
35,Addison Road,Glenmont,0.0
36,Addison Road,Greenbelt,0.0
37,Addison Road,Greensboro,0.0
38,Addison Road,Grosvenor,0.0
39,Addison Road,Huntington,0.0
40,Addison Road,Judiciary Square,0.0
41,Addison Road,King Street,4.0
42,Addison Road,L'Enfant Plaza,22.0
43,Addison Road,Landover,0.0
44,Addison Road,Largo Town Center,0.0
45,Addison Road,McLean,0.0
46,Addison Road,McPherson Square,44.0
47,Addison Road,Medical Center,0.0
48,Addison Road,Metro Center,88.0
49,Addison Road,Minnesota Avenue,0.0
50,Addison Road,Morgan Blvd.,0.0
51,Addison Road,Mt. Vernon Square-UDC,6.0
52,Addison Road,Navy Yard,0.0
53,Addison Road,Naylor Road,0.0
54,Addison Road,New Carrollton,0.0
55,Addison Road,New York Ave,2.0
56,Addison Road,Pentagon,39.0
57,Addison Road,Pentagon City,9.0
58,Addison Road,Potomac Avenue,0.0
59,Addison Road,Prince George's Plaza,0.0
60,Addison Road,Reagan Washington National Airport,0.0
61,Addison Road,Rhode Island Avenue,1.0
62,Addison Road,Rockville,1.0
63,Addison Road,Rosslyn,1.0
64,Addison Road,Shady Grove,0.0
65,Addison Road,Shaw-Howard University,13.0
66,Addison Road,Silver Spring,0.0
67,Addison Road,Smithsonian,28.0
68,Addison Road,Southern Avenue,0.0
69,Addison Road,Spring Hill,0.0
70,Addison Road,Stadium-Armory,0.0
71,Addison Road,Suitland,0.0
72,Addison Road,Takoma,0.0
73,Addison Road,Tenleytown-AU,0.0
74,Addison Road,Twinbrook,0.0
75,Addison Road,Tysons Corner,5.0
76,Addison Road,U Street-Cardozo,0.0
77,Addison Road,Union Station,2.0
78,Addison Road,Van Dorn Street,0.0
79,Addison Road,Van Ness-UDC,0.0
80,Addison Road,Vienna,0.0
81,Addison Road,Virginia Square-GMU,0.0
82,Addison Road,Waterfront,28.0
83,Addison Road,Wheaton,0.0
84,Addison Road,White Flint,0.0
85,Addison Road,Wiehle,0.0
86,Addison Road,Woodley Park-Zoo,0.0
87,Anacostia,Addison Road,0.0
88,Anacostia,Archives-Navy Memorial,17.0
89,Anacostia,Arlington Cemetery,0.0
90,Anacostia,Ballston,0.0
91,Anacostia,Benning Road,0.0
92,Anacostia,Bethesda,0.0
93,Anacostia,Braddock Road,0.0
94,Anacostia,Branch Avenue,0.0
95,Anacostia,Brookland,0.0
96,Anacostia,Capitol Heights,0.0
97,Anacostia,Capitol South,0.0
98,Anacostia,Cheverly,0.0
99,Anacostia,Clarendon,0.0
100,Anacostia,Cleveland Park,4.0
101,Anacostia,College Park-U of MD,0.0
102,Anacostia,Columbia Heights,2.0
103,Anacostia,Congress Heights,0.0
104,Anacostia,Court House,1.0
105,Anacostia,Crystal City,3.0
106,Anacostia,Deanwood,0.0
107,Anacostia,Dunn Loring,0.0
108,Anacostia,Dupont Circle,1.0
109,Anacostia,East Falls Church,0.0
110,Anacostia,Eastern Market,0.0
111,Anacostia,Eisenhower Avenue,0.0
112,Anacostia,Farragut North,1.0
113,Anacostia,Farragut West,13.0
114,Anacostia,Federal Center SW,1.0
115,Anacostia,Federal Triangle,9.0
116,Anacostia,Foggy Bottom,4.0
117,Anacostia,Fort Totten,0.0
118,Anacostia,Franconia-Springfield,0.0
119,Anacostia,Friendship Heights,0.0
120,Anacostia,Gallery Place-Chinatown,13.0
121,Anacostia,Georgia Avenue-Petworth,0.0
122,Anacostia,Glenmont,0.0
123,Anacostia,Greenbelt,0.0
124,Anacostia,Greensboro,0.0
125,Anacostia,Grosvenor,0.0
126,Anacostia,Huntington,0.0
127,Anacostia,Judiciary Square,1.0
128,Anacostia,King Street,0.0
129,Anacostia,L'Enfant Plaza,19.0
130,Anacostia,Landover,0.0
131,Anacostia,Largo Town Center,0.0
132,Anacostia,McLean,0.0
133,Anacostia,McPherson Square,3.0
134,Anacostia,Medical Center,1.0
135,Anacostia,Metro Center,0.0
136,Anacostia,Minnesota Avenue,0.0
137,Anacostia,Morgan Blvd.,0.0
138,Anacostia,Mt. Vernon Square-UDC,1.0
139,Anacostia,Navy Yard,56.0
140,Anacostia,Naylor Road,0.0
141,Anacostia,New Carrollton,0.0
142,Anacostia,New York Ave,1.0
143,Anacostia,Pentagon,3.0
144,Anacostia,Pentagon City,0.0
145,Anacostia,Potomac Avenue,0.0
146,Anacostia,Prince George's Plaza,0.0
147,Anacostia,Reagan Washington National Airport,2.0
148,Anacostia,Rhode Island Avenue,0.0
149,Anacostia,Rockville,0.0
150,Anacostia,Rosslyn,2.0
151,Anacostia,Shady Grove,0.0
152,Anacostia,Shaw-Howard University,0.0
153,Anacostia,Silver Spring,0.0
154,Anacostia,Smithsonian,6.0
155,Anacostia,Southern Avenue,0.0
156,Anacostia,Spring Hill,0.0
157,Anacostia,Stadium-Armory,0.0
158,Anacostia,Suitland,0.0
159,Anacostia,Takoma,0.0
160,Anacostia,Tenleytown-AU,0.0
161,Anacostia,Twinbrook,0.0
162,Anacostia,Tysons Corner,0.0
163,Anacostia,U Street-Cardozo,14.0
164,Anacostia,Union Station,0.0
165,Anacostia,Van Dorn Street,0.0
166,Anacostia,Van Ness-UDC,0.0
167,Anacostia,Vienna,0.0
168,Anacostia,Virginia Square-GMU,0.0
169,Anacostia,Waterfront,21.0
170,Anacostia,West Falls Church,0.0
171,Anacostia,West Hyattsville,0.0
172,Anacostia,Wheaton,0.0
173,Anacostia,White Flint,0.0
174,Anacostia,Wiehle,0.0
175,Anacostia,Woodley Park-Zoo,0.0
176,Archives-Navy Memorial,Anacostia,0.0
177,Archives-Navy Memorial,Arlington Cemetery,0.0
178,Archives-Navy Memorial,Ballston,0.0
