,START_PLACE_NAME,END_PLACE_NAME,parking_user
0,Addison Road,Anacostia,0.0
1,Addison Road,Archives-Navy Memorial,0.0
2,Addison Road,Ballston,0.0
3,Addison Road,Benning Road,0.0
4,Addison Road,Branch Avenue,0.0
5,Addison Road,Brookland,0.0
6,Addison Road,Capitol Heights,0.0
7,Addison Road,Capitol South,1.0
8,Addison Road,Cheverly,0.0
9,Addison Road,Clarendon,0.0
10,Addison Road,Cleveland Park,0.0
11,Addison Road,Columbia Heights,0.0
12,Addison Road,Congress Heights,0.0
13,Addison Road,Court House,0.0
14,Addison Road,Crystal City,0.0
15,Addison Road,Dunn Loring,0.0
16,Addison Road,Dupont Circle,0.0
17,Addison Road,East Falls Church,0.0
18,Addison Road,Eastern Market,0.0
19,Addison Road,Farragut North,0.0
20,Addison Road,Farragut West,0.0
21,Addison Road,Federal Center SW,1.0
22,Addison Road,Federal Triangle,0.0
23,Addison Road,Foggy Bottom,3.0
24,Addison Road,Fort Totten,0.0
25,Addison Road,Franconia-Springfield,0.0
26,Addison Road,Friendship Heights,0.0
27,Addison Road,Gallery Place-Chinatown,1.0
28,Addison Road,Georgia Avenue-Petworth,0.0
29,Addison Road,Glenmont,0.0
30,Addison Road,Greenbelt,0.0
31,Addison Road,Huntington,0.0
32,Addison Road,King Street,0.0
33,Addison Road,L'Enfant Plaza,0.0
34,Addison Road,Landover,0.0
35,Addison Road,Largo Town Center,0.0
36,Addison Road,McLean,0.0
37,Addison Road,McPherson Square,1.0
38,Addison Road,Medical Center,0.0
39,Addison Road,Metro Center,2.0
40,Addison Road,Minnesota Avenue,0.0
41,Addison Road,Morgan Blvd.,0.0
42,Addison Road,Mt. Vernon Square-UDC,1.0
43,Addison Road,Navy Yard,0.0
44,Addison Road,Naylor Road,0.0
45,Addison Road,New Carrollton,0.0
46,Addison Road,New York Ave,0.0
47,Addison Road,Pentagon,0.0
48,Addison Road,Pentagon City,1.0
49,Addison Road,Potomac Avenue,0.0
50,Addison Road,Prince George's Plaza,0.0
51,Addison Road,Reagan Washington National Airport,0.0
52,Addison Road,Rhode Island Avenue,0.0
53,Addison Road,Rockville,0.0
54,Addison Road,Rosslyn,0.0
55,Addison Road,Shady Grove,0.0
56,Addison Road,Shaw-Howard University,0.0
57,Addison Road,Silver Spring,0.0
58,Addison Road,Smithsonian,1.0
59,Addison Road,Southern Avenue,0.0
60,Addison Road,Spring Hill,0.0
61,Addison Road,Stadium-Armory,0.0
62,Addison Road,Suitland,0.0
63,Addison Road,Takoma,0.0
64,Addison Road,Tenleytown-AU,0.0
65,Addison Road,Tysons Corner,0.0
66,Addison Road,U Street-Cardozo,1.0
67,Addison Road,Union Station,0.0
68,Addison Road,Van Dorn Street,0.0
69,Addison Road,Van Ness-UDC,0.0
70,Addison Road,Waterfront,0.0
71,Addison Road,West Hyattsville,0.0
72,Addison Road,Wheaton,0.0
73,Addison Road,White Flint,0.0
74,Addison Road,Wiehle,0.0
75,Addison Road,Woodley Park-Zoo,0.0
76,Anacostia,Addison Road,0.0
77,Anacostia,Archives-Navy Memorial,0.0
78,Anacostia,Arlington Cemetery,0.0
79,Anacostia,Ballston,0.0
80,Anacostia,Benning Road,0.0
81,Anacostia,Bethesda,0.0
82,Anacostia,Braddock Road,0.0
83,Anacostia,Branch Avenue,21.0
84,Anacostia,Brookland,0.0
85,Anacostia,Capitol Heights,5.0
86,Anacostia,Capitol South,0.0
87,Anacostia,Cheverly,0.0
88,Anacostia,Clarendon,0.0
89,Anacostia,Cleveland Park,0.0
90,Anacostia,College Park-U of MD,0.0
91,Anacostia,Columbia Heights,0.0
92,Anacostia,Congress Heights,2.0
93,Anacostia,Court House,0.0
94,Anacostia,Crystal City,0.0
95,Anacostia,Deanwood,0.0
96,Anacostia,Dunn Loring,0.0
97,Anacostia,Dupont Circle,0.0
98,Anacostia,East Falls Church,0.0
99,Anacostia,Eastern Market,0.0
100,Anacostia,Eisenhower Avenue,0.0
101,Anacostia,Farragut North,0.0
102,Anacostia,Farragut West,0.0
103,Anacostia,Federal Center SW,0.0
104,Anacostia,Federal Triangle,0.0
105,Anacostia,Foggy Bottom,0.0
106,Anacostia,Forest Glen,2.0
107,Anacostia,Fort Totten,0.0
108,Anacostia,Franconia-Springfield,0.0
109,Anacostia,Friendship Heights,0.0
110,Anacostia,Gallery Place-Chinatown,3.0
111,Anacostia,Georgia Avenue-Petworth,0.0
112,Anacostia,Glenmont,2.0
113,Anacostia,Greenbelt,2.0
114,Anacostia,Huntington,0.0
115,Anacostia,Judiciary Square,0.0
116,Anacostia,King Street,0.0
117,Anacostia,L'Enfant Plaza,2.0
118,Anacostia,Landover,0.0
119,Anacostia,Largo Town Center,0.0
120,Anacostia,McLean,0.0
121,Anacostia,McPherson Square,0.0
122,Anacostia,Medical Center,0.0
123,Anacostia,Metro Center,1.0
124,Anacostia,Minnesota Avenue,0.0
125,Anacostia,Morgan Blvd.,0.0
126,Anacostia,Mt. Vernon Square-UDC,0.0
127,Anacostia,Navy Yard,38.0
128,Anacostia,Naylor Road,0.0
129,Anacostia,New Carrollton,1.0
130,Anacostia,New York Ave,0.0
131,Anacostia,Pentagon,0.0
132,Anacostia,Pentagon City,0.0
133,Anacostia,Potomac Avenue,0.0
134,Anacostia,Prince George's Plaza,2.0
135,Anacostia,Reagan Washington National Airport,0.0
136,Anacostia,Rhode Island Avenue,0.0
137,Anacostia,Rockville,0.0
138,Anacostia,Rosslyn,0.0
139,Anacostia,Shady Grove,0.0
140,Anacostia,Shaw-Howard University,0.0
141,Anacostia,Silver Spring,0.0
142,Anacostia,Smithsonian,0.0
143,Anacostia,Southern Avenue,1.0
144,Anacostia,Spring Hill,0.0
145,Anacostia,Stadium-Armory,0.0
146,Anacostia,Suitland,2.0
147,Anacostia,Takoma,0.0
148,Anacostia,Tenleytown-AU,0.0
149,Anacostia,Twinbrook,0.0
150,Anacostia,Tysons Corner,0.0
151,Anacostia,U Street-Cardozo,0.0
152,Anacostia,Union Station,0.0
153,Anacostia,Van Dorn Street,1.0
154,Anacostia,Van Ness-UDC,0.0
155,Anacostia,Vienna,0.0
156,Anacostia,Virginia Square-GMU,0.0
157,Anacostia,Waterfront,4.0
158,Anacostia,West Hyattsville,0.0
159,Anacostia,Wheaton,0.0
160,Anacostia,White Flint,0.0
161,Anacostia,Wiehle,2.0
162,Anacostia,Woodley Park-Zoo,0.0
163,Archives-Navy Memorial,Addison Road,14.0
164,Archives-Navy Memorial,Anacostia,4.0
165,Archives-Navy Memorial,Arlington Cemetery,0.0
166,Archives-Navy Memorial,Ballston,0.0
167,Archives-Navy Memorial,Benning Road,0.0
168,Archives-Navy Memorial,Bethesda,0.0
169,Archives-Navy Memorial,Braddock Road,0.0
170,Archives-Navy Memorial,Branch Avenue,442.0
171,Archives-Navy Memorial,Brookland,0.0
172,Archives-Navy Memorial,Capitol Heights,13.0
173,Archives-Navy Memorial,Capitol South,0.0
174,Archives-Navy Memorial,Cheverly,0.0
175,Archives-Navy Memorial,Clarendon,0.0
176,Archives-Navy Memorial,Cleveland Park,0.0
177,Archives-Navy Memorial,College Park-U of MD,72.0
178,Archives-Navy Memorial,Columbia Heights,0.0
179,Archives-Navy Memorial,Congress Heights,0.0
180,Archives-Navy Memorial,Court House,0.0
181,Archives-Navy Memorial,Crystal City,0.0
182,Archives-Navy Memorial,Deanwood,0.0
183,Archives-Navy Memorial,Dunn Loring,1.0
184,Archives-Navy Memorial,Dupont Circle,0.0
185,Archives-Navy Memorial,East Falls Church,0.0
186,Archives-Navy Memorial,Eastern Market,0.0
187,Archives-Navy Memorial,Eisenhower Avenue,0.0
188,Archives-Navy Memorial,Farragut North,0.0
189,Archives-Navy Memorial,Farragut West,0.0
190,Archives-Navy Memorial,Federal Center SW,0.0
191,Archives-Navy Memorial,Federal Triangle,0.0
192,Archives-Navy Memorial,Foggy Bottom,0.0
193,Archives-Navy Memorial,Forest Glen,4.0
194,Archives-Navy Memorial,Fort Totten,54.0
195,Archives-Navy Memorial,Franconia-Springfield,116.0
196,Archives-Navy Memorial,Friendship Heights,0.0
197,Archives-Navy Memorial,Gallery Place-Chinatown,0.0
198,Archives-Navy Memorial,Georgia Avenue-Petworth,0.0
199,Archives-Navy Memorial,Glenmont,9.0
200,Archives-Navy Memorial,Greenbelt,385.0
201,Archives-Navy Memorial,Greensboro,0.0
202,Archives-Navy Memorial,Grosvenor,1.0
203,Archives-Navy Memorial,Huntington,276.0
204,Archives-Navy Memorial,Judiciary Square,0.0
205,Archives-Navy Memorial,King Street,0.0
206,Archives-Navy Memorial,L'Enfant Plaza,0.0
207,Archives-Navy Memorial,Landover,27.0
208,Archives-Navy Memorial,Largo Town Center,56.0
209,Archives-Navy Memorial,McLean,0.0
210,Archives-Navy Memorial,McPherson Square,0.0
211,Archives-Navy Memorial,Medical Center,0.0
212,Archives-Navy Memorial,Metro Center,0.0
213,Archives-Navy Memorial,Minnesota Avenue,0.0
214,Archives-Navy Memorial,Morgan Blvd.,15.0
215,Archives-Navy Memorial,Mt. Vernon Square-UDC,0.0
216,Archives-Navy Memorial,Navy Yard,0.0
217,Archives-Navy Memorial,Naylor Road,34.0
218,Archives-Navy Memorial,New Carrollton,19.0
219,Archives-Navy Memorial,New York Ave,0.0
220,Archives-Navy Memorial,Pentagon,0.0
221,Archives-Navy Memorial,Pentagon City,0.0
222,Archives-Navy Memorial,Potomac Avenue,0.0
223,Archives-Navy Memorial,Prince George's Plaza,32.0
224,Archives-Navy Memorial,Reagan Washington National Airport,0.0
225,Archives-Navy Memorial,Rhode Island Avenue,21.0
226,Archives-Navy Memorial,Rockville,2.0
227,Archives-Navy Memorial,Rosslyn,0.0
228,Archives-Navy Memorial,Shady Grove,43.0
229,Archives-Navy Memorial,Shaw-Howard University,0.0
230,Archives-Navy Memorial,Silver Spring,0.0
231,Archives-Navy Memorial,Smithsonian,0.0
232,Archives-Navy Memorial,Southern Avenue,96.0
233,Archives-Navy Memorial,Spring Hill,0.0
234,Archives-Navy Memorial,Stadium-Armory,0.0
235,Archives-Navy Memorial,Suitland,68.0
236,Archives-Navy Memorial,Takoma,0.0
237,Archives-Navy Memorial,Tenleytown-AU,0.0
238,Archives-Navy Memorial,Twinbrook,2.0
239,Archives-Navy Memorial,Tysons Corner,0.0
240,Archives-Navy Memorial,U Street-Cardozo,0.0
241,Archives-Navy Memorial,Union Station,0.0
242,Archives-Navy Memorial,Van Dorn Street,19.0
243,Archives-Navy Memorial,Van Ness-UDC,0.0
244,Archives-Navy Memorial,Vienna,27.0
245,Archives-Navy Memorial,Virginia Square-GMU,0.0
246,Archives-Navy Memorial,Waterfront,0.0
247,Archives-Navy Memorial,West Falls Church,1.0
248,Archives-Navy Memorial,West Hyattsville,35.0
249,Archives-Navy Memorial,Wheaton,0.0
250,Archives-Navy Memorial,White Flint,1.0
251,Archives-Navy Memorial,Wiehle,4.0
252,Archives-Navy Memorial,Woodley Park-Zoo,0.0
253,Arlington Cemetery,Addison Road,0.0
254,Arlington Cemetery,Anacostia,0.0
255,Arlington Cemetery,Archives-Navy Memorial,0.0
256,Arlington Cemetery,Ballston,0.0
257,Arlington Cemetery,Benning Road,0.0
258,Arlington Cemetery,Bethesda,0.0
259,Arlington Cemetery,Braddock Road,0.0
