name_O,name_D,median_p75,count
ANACOSTIA,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,24.425,26
ANACOSTIA,CAPITOL SOUTH,14.4,57
ANACOSTIA,COLUMBIA HEIGHTS,68.55,3
ANACOSTIA,CONGRESS HEIGHTS,12.316666666666666,19
ANACOSTIA,CRYSTAL CITY,48.05,5
ANACOSTIA,EASTERN MARKET,12.233333333333334,88
ANACOSTIA,FARRAGUT NORTH,29.2,17
ANACOSTIA,FARRAGUT WEST,28.933333333333334,15
ANACOSTIA,FEDERAL CENTER SW,23.7,19
ANACOSTIA,FEDERAL TRIANGLE,27.833333333333332,36
ANACOSTIA,FOGGY BOTTOM-GWU,29.066666666666666,14
ANACOSTIA,GALLERY PL-CHINATOWN,24.433333333333334,21
ANACOSTIA,GEORGIA AVE-PETWORTH,68.55,3
ANACOSTIA,JUDICIARY SQUARE,24.416666666666668,23
ANACOSTIA,L'ENFANT PLAZA,24.808333333333334,20
ANACOSTIA,MCPHERSON SQUARE,27.833333333333332,26
ANACOSTIA,METRO CENTER,27.0,29
ANACOSTIA,MT VERNON SQ 7TH ST-CONVENTION CENTER,22.049999999999997,10
ANACOSTIA,NAVY YARD-BALLPARK,12.208333333333332,76
ANACOSTIA,NOMA-GALLAUDET,24.95,23
ANACOSTIA,PENTAGON CITY,46.925,4
ANACOSTIA,POTOMAC AVE,12.100000000000001,32
ANACOSTIA,RHODE ISLAND AVE-BRENTWOOD,38.483333333333334,4
ANACOSTIA,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,48.05,5
ANACOSTIA,SMITHSONIAN,24.808333333333334,18
ANACOSTIA,STADIUM-ARMORY,12.533333333333333,19
ANACOSTIA,UNION STATION,25.083333333333332,35
ANACOSTIA,WATERFRONT,14.55,36
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ANACOSTIA,23.416666666666668,35
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ARLINGTON CEMETERY,41.25,159
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BALLSTON-MU,38.166666666666664,15
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BENNING ROAD,61.94166666666666,4
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BETHESDA,67.48333333333333,7
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BRADDOCK ROAD,44.79166666666667,62
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BROOKLAND-CUA,24.116666666666667,127
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CAPITOL SOUTH,14.633333333333333,8604
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CLARENDON,36.6,52
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CLEVELAND PARK,38.625,56
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,COLUMBIA HEIGHTS,18.958333333333332,1634
