,Name_1,convenience_storecount
0,ANACOSTIA,3
1,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,1
2,BALLSTON-MU,4
3,BENNING ROAD,1
4,BETHESDA,1
5,BRADDOCK ROAD,2
6,BROOKLAND-CUA,1
7,CAPITOL SOUTH,1
8,CLARENDON,2
9,CLEVELAND PARK,1
10,COLUMBIA HEIGHTS,13
11,COURT HOUSE,3
12,CRYSTAL CITY,2
13,DEANWOOD,1
14,DUNN LORING-MERRIFIELD,1
15,DUPONT CIRCLE,5
16,EASTERN MARKET,8
17,EISENHOWER AVENUE,2
18,FARRAGUT NORTH,4
19,FARRAGUT WEST,5
20,FEDERAL CENTER SW,1
21,FEDERAL TRIANGLE,3
22,FOGGY BOTTOM-GWU,4
23,FORT TOTTEN,2
24,FRIENDSHIP HEIGHTS,3
25,GALLERY PL-CHINATOWN,7
26,GEORGIA AVE-PETWORTH,13
27,GLENMONT,1
28,GREENSBORO,1
29,HUNTINGTON,2
30,Innovation Center,2
31,JUDICIARY SQUARE,4
32,KING ST-OLD TOWN,2
33,L'ENFANT PLAZA,1
34,MCPHERSON SQUARE,6
35,MEDICAL CENTER,2
36,METRO CENTER,4
37,MINNESOTA AVE,4
38,MT VERNON SQ 7TH ST-CONVENTION CENTER,7
39,NAVY YARD-BALLPARK,3
40,NAYLOR ROAD,1
41,NOMA-GALLAUDET,5
42,PENTAGON CITY,2
43,POTOMAC AVE,3
44,RHODE ISLAND AVE-BRENTWOOD,3
45,ROCKVILLE,1
46,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,1
47,ROSSLYN,2
48,Reston Town Center,2
49,SHAW-HOWARD U,12
50,SILVER SPRING,5
51,STADIUM-ARMORY,3
52,TAKOMA,2
53,TENLEYTOWN-AU,3
54,TWINBROOK,3
55,TYSONS CORNER,1
56,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,8
57,UNION STATION,5
58,VIRGINIA SQUARE-GMU,5
59,WHEATON,2
60,WHITE FLINT,1
61,WOODLEY PARK-ZOO/ADAMS MORGAN,2
