,Name_1,TotalUnits
0,ANACOSTIA,1200
1,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,214
2,BALLSTON-MU,570
3,BENNING ROAD,258
4,BETHESDA,1130
5,BRADDOCK ROAD,427
6,BROOKLAND-CUA,407
7,CAPITOL HEIGHTS,375
8,CLARENDON,472
9,COLUMBIA HEIGHTS,2589
10,CONGRESS HEIGHTS,1494
11,COURT HOUSE,1480
12,DEANWOOD,290
13,DUPONT CIRCLE,33
14,EASTERN MARKET,352
15,FARRAGUT NORTH,235
16,FEDERAL CENTER SW,648
17,FEDERAL TRIANGLE,214
18,FOGGY BOTTOM-GWU,195
19,FOREST GLEN,403
20,FORT TOTTEN,124
21,FRANCONIA-SPRINGFIELD,347
22,FRIENDSHIP HEIGHTS,180
23,GALLERY PL-CHINATOWN,1575
24,GEORGIA AVE-PETWORTH,1256
25,GREENBELT,9
26,GREENSBORO,110
27,GROSVENOR-STRATHMORE,149
28,HUNTINGTON,2
29,JUDICIARY SQUARE,906
30,KING ST-OLD TOWN,136
31,L'ENFANT PLAZA,648
32,LARGO TOWN CENTER,210
33,MCLEAN,80
34,MCPHERSON SQUARE,235
35,MEDICAL CENTER,189
36,METRO CENTER,214
37,MINNESOTA AVE,3002
38,MT VERNON SQ 7TH ST-CONVENTION CENTER,1738
39,NAVY YARD-BALLPARK,277
40,NAYLOR ROAD,21
41,NOMA-GALLAUDET,806
42,PENTAGON,302
43,PENTAGON CITY,302
44,POTOMAC AVE,594
45,RHODE ISLAND AVE-BRENTWOOD,1423
46,ROCKVILLE,584
47,ROSSLYN,565
48,Reston Town Center,314
49,SHADY GROVE,268
50,SHAW-HOWARD U,1760
51,SILVER SPRING,1609
52,SMITHSONIAN,214
53,SOUTHERN AVENUE,1032
54,STADIUM-ARMORY,397
55,SUITLAND,21
56,TAKOMA,325
57,TENLEYTOWN-AU,180
58,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,976
59,UNION STATION,289
60,VIRGINIA SQUARE-GMU,103
61,WATERFRONT,755
62,WEST HYATTSVILLE,550
63,WHEATON,329
64,WHITE FLINT,999
65,WIEHLE-RESTON EAST,2
