,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
0,Addison Road,38.887060000000005,-76.89581000000001,Anacostia,38.86278,-76.99563,20.05,9.35
193,Archives,38.893890000000006,-77.02193000000001,Anacostia,38.86278,-76.99563,8.98,4.58
289,Arlington Cemetery,38.88449000000001,-77.06338000000001,Anacostia,38.86278,-76.99563,12.92,6.1
385,Ashburn,39.00457,-77.49112000000001,Anacostia,38.86278,-76.99563,39.27,35.45
481,Ballston-MU,38.882160000000006,-77.1118,Anacostia,38.86278,-76.99563,18.97,9.63
577,Benning Road,38.89054,-76.93736000000001,Anacostia,38.86278,-76.99563,13.9,6.74
673,Bethesda,38.984320000000004,-77.09441000000001,Anacostia,38.86278,-76.99563,37.18,13.43
769,Braddock Road,38.813680000000005,-77.05372000000001,Anacostia,38.86278,-76.99563,18.87,10.09
865,Branch Ave,38.82733,-76.91238000000001,Anacostia,38.86278,-76.99563,14.87,6.66
961,Brookland-CUA,38.93381,-76.99472,Anacostia,38.86278,-76.99563,19.1,7.34
1057,Capitol Heights,38.889120000000005,-76.91312,Anacostia,38.86278,-76.99563,17.4,8.11
1153,Capitol South,38.88542,-77.00587,Anacostia,38.86278,-76.99563,8.28,3.72
1249,Cheverly,38.9161,-76.91653000000001,Anacostia,38.86278,-76.99563,14.78,7.62
1345,Clarendon,38.88709,-77.09548000000001,Anacostia,38.86278,-76.99563,16.4,8.95
1441,Cleveland Park,38.93594,-77.05872000000001,Anacostia,38.86278,-76.99563,20.8,9.61
1537,College Park-U of Md,38.97814,-76.92890000000001,Anacostia,38.86278,-76.99563,26.45,11.15
1633,Columbia Heights,38.928790000000006,-77.03280000000001,Anacostia,38.86278,-76.99563,23.53,7.09
1729,Congress Heights,38.84503,-76.98772000000001,Anacostia,38.862730000000006,-76.99556000000001,7.93,1.93
1825,Court House,38.89072,-77.08524000000001,Anacostia,38.86278,-76.99563,14.83,8.49
1921,Crystal City,38.85801,-77.05118,Anacostia,38.86278,-76.99563,10.48,6.19
2017,Deanwood,38.908150000000006,-76.93467000000001,Anacostia,38.86278,-76.99563,14.55,6.18
2113,Dulles Airport,38.95593,-77.44778000000001,Anacostia,38.86278,-76.99563,38.82,32.78
2209,Dunn Loring,38.88295,-77.22851,Anacostia,38.86278,-76.99563,22.68,18.37
2305,Dupont Circle,38.910070000000005,-77.04407,Anacostia,38.86278,-76.99563,18.35,6.32
2401,East Falls Church,38.88589,-77.15638000000001,Anacostia,38.86278,-76.99563,18.87,13.87
2497,Eastern Market,38.88440000000001,-76.99576,Anacostia,38.86278,-76.99563,7.17,2.51
2593,Eisenhower Ave,38.80075,-77.07092,Anacostia,38.86278,-76.99563,17.45,10.5
2689,Farragut North,38.903290000000005,-77.03965000000001,Anacostia,38.86278,-76.99563,17.18,5.99
2785,Farragut West,38.901340000000005,-77.04127000000001,Anacostia,38.86278,-76.99563,16.97,6.14
2881,Federal Center SW,38.88506,-77.01572,Anacostia,38.86278,-76.99563,6.87,3.5
2977,Federal Triangle,38.89379,-77.02814000000001,Anacostia,38.86278,-76.99563,9.2,4.68
3073,Foggy Bottom-GWU,38.900780000000005,-77.05012,Anacostia,38.86278,-76.99563,17.08,6.35
3169,Forest Glen,39.015530000000005,-77.04398,Anacostia,38.86278,-76.99563,27.98,21.7
3265,Fort Totten,38.952510000000004,-77.00245000000001,Anacostia,38.86278,-76.99563,24.42,8.96
3361,Franconia-Springfield,38.76697,-77.16902,Anacostia,38.86278,-76.99563,23.73,16.51
3457,Friendship Heights,38.960440000000006,-77.08556,Anacostia,38.86278,-76.99563,29.82,11.78
3553,Gallery Place,38.898450000000004,-77.02218,Anacostia,38.86278,-76.99563,10.98,4.87
3649,Georgia Ave-Petworth,38.93699,-77.02439000000001,Anacostia,38.86278,-76.99563,23.63,7.33
3745,Glenmont,39.0621,-77.05340000000001,Anacostia,38.86278,-76.99563,38.38,25.19
3841,Greenbelt,39.010670000000005,-76.91120000000001,Anacostia,38.86278,-76.99563,24.28,17.28
3937,Greensboro,38.920840000000005,-77.23353,Anacostia,38.86278,-76.99563,28.05,21.47
4033,Grosvenor-Strathmore,39.02879,-77.10406,Anacostia,38.86278,-76.99563,35.05,26.4
4129,Herndon,38.95248,-77.38474000000001,Anacostia,38.86278,-76.99563,32.38,28.39
4225,Huntington,38.79402,-77.07654000000001,Anacostia,38.86278,-76.99563,15.17,9.66
4321,Innovation Center,38.960620000000006,-77.41708000000001,Anacostia,38.86278,-76.99563,38.53,31.17
4417,Judiciary Square,38.896150000000006,-77.01711,Anacostia,38.86278,-76.99563,8.23,4.14
4513,King St-Old Town,38.806810000000006,-77.06060000000001,Anacostia,38.86278,-76.99563,16.07,10.68
4609,L'Enfant Plaza,38.885290000000005,-77.02198,Anacostia,38.86278,-76.99563,7.22,3.8
4705,Landover,38.93345,-76.89121,Anacostia,38.86278,-76.99563,16.57,9.71
4801,Largo Town Center,38.899770000000004,-76.84511,Anacostia,38.86278,-76.99563,23.47,14.88
4897,Loudoun Gateway,38.992990000000006,-77.45981,Anacostia,38.86278,-76.99563,41.2,34.97
4993,McLean,38.92454,-77.2089,Anacostia,38.86278,-76.99563,26.98,17.0
5089,McPherson Sq,38.901340000000005,-77.03295,Anacostia,38.86278,-76.99563,15.37,5.67
5185,Medical Center,38.99886,-77.09748,Anacostia,38.86278,-76.99563,34.45,25.14
5281,Metro Center,38.898320000000005,-77.02811000000001,Anacostia,38.86278,-76.99563,11.9,4.99
5377,Minnesota Ave,38.89882,-76.94640000000001,Anacostia,38.86278,-76.99563,11.48,5.16
5473,Morgan Boulevard,38.89403,-76.86868000000001,Anacostia,38.86278,-76.99563,23.43,10.99
5569,Mt Vernon Sq,38.905640000000005,-77.02224000000001,Anacostia,38.86278,-76.99563,11.22,5.02
5665,Navy Yard-Ballpark,38.87644,-77.00551,Anacostia,38.86278,-76.99563,7.83,2.53
5761,Naylor Road,38.85085,-76.95661000000001,Anacostia,38.86278,-76.99563,7.73,3.16
5857,New Carrollton,38.94852,-76.87245,Anacostia,38.86278,-76.99563,20.58,11.45
5953,NoMa-Gallaudet U,38.907230000000006,-77.00372,Anacostia,38.86278,-76.99563,15.18,5.64
6049,Pentagon,38.8684,-77.05361,Anacostia,38.86278,-76.99563,13.05,6.69
6145,Pentagon City,38.862790000000004,-77.05932,Anacostia,38.86278,-76.99563,11.63,6.3
6241,Potomac Ave,38.88092,-76.98537,Anacostia,38.86278,-76.99563,7.15,2.83
6337,Prince George's Plaza,38.96508,-76.95559,Anacostia,38.86278,-76.99563,25.88,10.94
6433,Reston Town Center,38.952980000000004,-77.3605,Anacostia,38.86278,-76.99563,41.35,36.81
6529,Rhode Island Ave,38.92045,-76.99589,Anacostia,38.86278,-76.99563,20.85,6.9
6625,Rockville,39.08437,-77.14697000000001,Anacostia,38.86278,-76.99563,40.45,27.23
6721,Ronald Reagan Washington National Airport,38.853390000000005,-77.04441000000001,Anacostia,38.86278,-76.99563,10.67,6.45
6817,Rosslyn,38.895970000000005,-77.07155,Anacostia,38.86278,-76.99563,13.68,7.72
6913,Shady Grove,39.119980000000005,-77.16516,Anacostia,38.86278,-76.99563,42.7,32.11
7009,Shaw-Howard U,38.91386,-77.02193000000001,Anacostia,38.86278,-76.99563,14.3,5.57
7105,Silver Spring,38.99396,-77.03148,Anacostia,38.86278,-76.99563,31.95,21.57
7201,Smithsonian,38.88801,-77.02850000000001,Anacostia,38.86278,-76.99563,8.15,4.29
7297,Southern Ave,38.84035,-76.97566,Anacostia,38.86278,-76.99563,10.65,2.94
